"","ID","Ecosystem","P","k","Max.Age"
"1","Sg_002","Seagrass",0.00828974706345382,0.0132562178325495,298
"2","Sg_003","Seagrass",0.00558224251245705,0.00879979995578362,290
"3","Sg_004","Seagrass",0.00284167203473398,0.0159795932763386,292
"4","Sg_005","Seagrass",0.00259717189633041,0.0154905246870124,298
"5","Sg_018","Seagrass",0.00225192503361976,0.00501038684368858,291
"6","Sg_019","Seagrass",0.00863551332706483,0.0200292872382687,256
"7","Sg_030","Seagrass",NA,NA,210
"8","Sg_038","Seagrass",NA,NA,298
"9","Sg_041","Seagrass",0.0115947549969053,0.0264721290761797,247
"10","Sg_043","Seagrass",NA,NA,289
"11","Sg_058","Seagrass",0.00235633371834153,0.00287910120470103,265
"12","Sg_084","Seagrass",NA,NA,215
"13","Sg_088","Seagrass",0.00205586047666872,0.0077052723954175,247
"14","Sg_097","Seagrass",NA,NA,65
"15","Sg_104","Seagrass",0.00176914922390057,0.012924544934327,245
"16","Sg_110","Seagrass",0.00268148835598313,0.0105851652861597,268
"17","Sg_111","Seagrass",0.00784460113385138,0.0281369551652802,189
"18","Sg_112","Seagrass",0.00723284628352021,0.0324747510191627,255
"19","Sg_113","Seagrass",0.000953675454570851,0.0090319354600264,281
"20","Sg_115","Seagrass",0.00103920456660691,0.0047429177103692,287
"21","Sg_116","Seagrass",0.00169351078220928,0.00377323719044597,289
"22","Sg_117","Seagrass",0.00859742803679053,0.0352274560445947,218
"23","Sg_119","Seagrass",0.0125109234429617,0.0106815225057201,295
"24","Sg_120","Seagrass",0.00935078590164841,0.017284457972645,259
"25","Sg_121","Seagrass",0.0226802344519983,0.0240617201092273,260
"26","Sg_170","Seagrass",NA,NA,138
"27","Sg_191","Seagrass",NA,NA,40
"28","Sg_192","Seagrass",0.00549235834444339,0.0416745838821423,219
"29","Sg_193","Seagrass",0.00166736286283607,0.00722985159384266,288
"30","Sg_194","Seagrass",NA,NA,287.5
"31","Sg_195","Seagrass",NA,NA,33
"32","Sg_244","Seagrass",0.0119028621703328,0.0305253402124544,268
"33","Sg_247","Seagrass",0.0102867862065312,0.0177408173345279,279
"34","Sg_250","Seagrass",0.0306353788601225,0.0552115263410788,227
"35","Sg_261","Seagrass",NA,NA,283
"36","Sg_267","Seagrass",0.000906083708816053,0.0016973946348559,284
"37","Sg_298","Seagrass",0.00390073964037741,0.00684563459050314,292
"38","Sg_310","Seagrass",0.0346751697407652,0.0276667750427268,281
"39","Sg_311","Seagrass",0.0149450252827584,0.0142677242011144,281
"40","Sg_312","Seagrass",0.0118339964878507,0.0217113614910923,274
"41","Sg_314","Seagrass",0.0155933103468946,0.01787791455961,287
"42","Sg_315","Seagrass",0.00935726282213247,0.00930476997713476,227
"43","Sg_316","Seagrass",NA,NA,23
"44","Sg_317","Seagrass",NA,NA,19.5
"45","Sg_321","Seagrass",NA,NA,26
"46","Sg_323","Seagrass",0.00830093048872846,0.00819894244115576,243
"47","Sg_476","Seagrass",0.0006826679432644,0.000640551101428909,294
"48","Sg_478","Seagrass",0.000959329089429916,0.00284121539050552,299
"49","Sg_479","Seagrass",NA,NA,288
"50","Sg_480","Seagrass",NA,NA,284
"51","Sg_481","Seagrass",0.00146577725086145,0.00369820088251761,284
"52","Sg_483","Seagrass",NA,NA,280
"53","Sg_484","Seagrass",NA,NA,289
"54","Sg_485","Seagrass",0.00117976732500355,-0.000233302604363265,282
"55","Sg_493","Seagrass",NA,NA,278
"56","Sg_495","Seagrass",0.000587540600360636,-0.000285116270352789,299
"57","Sg_496","Seagrass",0.000827246082720816,0.00230234684937729,293
"58","Sg_497","Seagrass",0.000650594688115018,-0.00121806378734953,296
"59","Sg_588","Seagrass",0.0307320530331027,0.00900051767910413,294
"60","Sm_004","Tidal Marsh",0.139728090026937,0.863546894057961,298
"61","Sm_010","Tidal Marsh",0.00321555189220179,0.0162891947670858,268
"62","Sm_022","Tidal Marsh",0.00360505405698753,0.00599466649922207,259
"63","Sm_034","Tidal Marsh",0.0132750194927336,0.0083078371634244,293
