"","ID","Ecosystem","P","k","Max.Age"
"1","Mg_010","Mangrove",NA,NA,143.9
"2","Mg_011","Mangrove",NA,NA,139.8
"3","Mg_012","Mangrove",NA,NA,105.3
"4","Mg_015","Mangrove",NA,NA,105.9018101
"5","Mg_016","Mangrove",NA,NA,370.071527
"6","Mg_023","Mangrove",NA,NA,890
"7","Sg_002","Seagrass",NA,NA,779
"8","Sg_003","Seagrass",NA,NA,571
"9","Sg_004","Seagrass",NA,NA,779
"10","Sg_005","Seagrass",NA,NA,936
"11","Sg_011","Seagrass",NA,NA,178
"12","Sg_019","Seagrass",NA,NA,602
"13","Sg_041","Seagrass",0.00894719756601855,0.0157329669623212,1463
"14","Sg_042","Seagrass",0.00168181558997521,0.000694556198297438,1461
"15","Sg_057","Seagrass",NA,NA,1232
"16","Sg_081","Seagrass",NA,NA,257
"17","Sg_097","Seagrass",0.0132163411281373,0.0470238601211773,1341
"18","Sg_110","Seagrass",NA,NA,1432
"19","Sg_112","Seagrass",0.00436614599559501,0.0136303110911695,1332
"20","Sg_117","Seagrass",0.00142774035889619,0.00269048433716861,1389
"21","Sg_119","Seagrass",NA,NA,852
"22","Sg_120","Seagrass",0.0026034734317326,0.00182901584220352,1440
"23","Sg_121","Seagrass",0.0196998591167115,0.0168285374982381,1269
"24","Sg_123","Seagrass",NA,NA,355
"25","Sg_170","Seagrass",0.00798503003426712,0.01046067877271,1317
"26","Sg_177","Seagrass",NA,NA,900
"27","Sg_178","Seagrass",NA,NA,857
"28","Sg_179","Seagrass",0.00160637077152379,0.000567716092522953,1075
"29","Sg_190","Seagrass",NA,NA,480
"30","Sg_191","Seagrass",NA,NA,40
"31","Sg_195","Seagrass",0.0119209809066037,0.0529205608611919,1265
"32","Sg_241","Seagrass",NA,NA,1370
"33","Sg_279","Seagrass",0.001071656787483,0.00129169772885272,1495
"34","Sg_291","Seagrass",0.00379548207132146,0.000808728505402976,1207
"35","Sg_298","Seagrass",0.00213146613818398,0.000346136566148217,1043
"36","Sg_310","Seagrass",NA,NA,399
"37","Sg_311","Seagrass",0.00690554100796137,0.00390629902165939,1381
"38","Sg_312","Seagrass",0.0044951846483067,0.00466230944454081,1466
"39","Sg_314","Seagrass",0.00705053228121568,0.00456892758739353,1472
"40","Sg_316","Seagrass",NA,NA,23
"41","Sg_317","Seagrass",NA,NA,19.5
"42","Sg_321","Seagrass",NA,NA,26
"43","Sg_323","Seagrass",NA,NA,488
"44","Sg_332","Seagrass",NA,NA,98
"45","Sg_588","Seagrass",NA,NA,434
"46","Sm_004","Tidal Marsh",0.0097023459445593,0.0444293028600967,1484
"47","Sm_010","Tidal Marsh",NA,NA,926
"48","Sm_022","Tidal Marsh",0.000784196076232976,-0.00110204983454397,1156
"49","Sm_027","Tidal Marsh",NA,NA,848
"50","Sm_034","Tidal Marsh",NA,NA,637
"51","Sm_038","Tidal Marsh",0.00146603161408162,0.00410377344423576,1221
"52","Sm_049","Tidal Marsh",NA,NA,114
"53","Sm_051","Tidal Marsh",NA,NA,89
"54","Sm_054","Tidal Marsh",NA,NA,72
"55","Sm_057","Tidal Marsh",NA,NA,66
"56","Sm_058","Tidal Marsh",NA,NA,78
"57","Sm_059","Tidal Marsh",NA,NA,66
"58","Sm_060","Tidal Marsh",NA,NA,80
"59","Sm_063","Tidal Marsh",NA,NA,124
"60","Sm_064","Tidal Marsh",NA,NA,98
"61","Sm_068","Tidal Marsh",NA,NA,85.8770685
"62","Sm_069","Tidal Marsh",NA,NA,40.68236183
"63","Sm_074","Tidal Marsh",NA,NA,95.81683293
"64","Sm_080","Tidal Marsh",NA,NA,121.1262402
"65","Sm_081","Tidal Marsh",NA,NA,120.0091552
"66","Sm_083","Tidal Marsh",NA,NA,195.4100771
"67","Sm_092","Tidal Marsh",NA,NA,31
"68","Sm_094","Tidal Marsh",NA,NA,152
"69","Sm_097","Tidal Marsh",NA,NA,56
"70","Sm_105","Tidal Marsh",NA,NA,62
