Core;Core.ID;Location;Ecosystem;veg vs bare;Genus;Life form;lat;long;Bioregions (Short et al. 2007);Habitat.type;WD;Depth;Age Pb;Age.Pb.C;DBD;Corg;Corg M;d13C;Mud;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;1.6854;0;0;0.498950844;0.010009019;0.016869201;-14.53059594;2.90112515;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;3.3708;11;5;0.580610661;0.010856615;0.035166939;;3.072209798;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;5.0562;22;13;0.639159977;0.011081179;0.053843159;;2.625795552;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;15.1686;72;65;0.476473905;0.011724151;0.172402465;-11.58241744;2.621949503;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;16.854;77;74;0.580087536;0.01558175;0.198663945;-8.859476364;2.233697031;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;21.9102;100;106;0.485518155;0.008269053;0.240473933;-10.15392339;;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;23.5956;111;118;0.492423406;0.008701618;0.25513964;;1.548434101;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;25.281;122;118;0.416953901;0.007634683;0.268007134;;3.591152074;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;26.9664;127;129;0.427422214;0.014526068;0.29248937;;2.16015823;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;33.708;162;214;0.534924408;0.01230657;0.375455341;;2.806301133;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;35.3934;172;239;0.532628471;0.017714471;0.40531131;;2.120676618;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;37.0788;182;263;0.72106392;0.017119274;0.434164134;;2.021872437;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;38.7642;187;302;0.675249792;0.009605284;0.450352879;-10.52934535;2.762198702;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;45.5058;222;459;0.471446092;0.014303316;0.546780112;;3.604261863;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;52.2474;257;606;0.411182088;0.01763992;0.665701398;;;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;62.3598;306;950;0.662642479;0.007725683;0.743826592;;2.913759124;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;82.5846;406;1496;0.5964381;0.014355826;1.034170305;;3.390327033;;;
Sg_001;F;Oyster Harbour;Seagrass;Vegetated;Posidonia;Persistent;-34.98088333;117.9594546;Temperate Southern Oceans;estuarine;3;92.697;456;1850;0.578204286;0.008383693;1.11894956;;2.521115749;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;1.0909;0;3;1.026833864;0.056841074;0.062007928;-11.47848454;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;3.2727;7;7;0.957061235;0.02089848;0.107604232;-11.42848454;2.166006861;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;5.4545;14;16;0.336021897;0.009072607;0.127398845;;0;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;7.6363;19;20;0.445205347;0.009114186;0.147284176;-11.37848454;1.314550029;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;9.8181;24;24;0.637030172;0.019836922;0.190564373;-11.5524915;2.791271061;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;11.9999;29;34;0.719532527;0.013735339;0.220532135;-11.50431524;1.297044956;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;14.1817;36;43;0.830079185;0.022514342;0.269653926;-11.31774292;1.549833733;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;16.3635;40;48;0.835009039;0.017514462;0.30786698;-11.2949753;1.611703213;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;18.5453;44;52;0.451955697;0.010029138;0.329748554;-10.64264196;1.48583585;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;20.7271;49;61;0.735174539;0.011954586;0.355831068;-10.41905348;1.474121594;;;
Sg_002;M;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15988889;115.6712222;Temperate Southern Oceans;coastal;2;22.9089;53;69;0.755607893;0.019105743;0.397515979;-9.871279433;1.527558957;;;
