,Core,Depth,Acc.Mass,Age,Age.Pb,Age.C
1,Mg_001,1,8.79449761,NA,2.5958024,NA
2,Mg_001,2,14.16124402,NA,3.45406752,NA
3,Mg_001,3,21.01196172,NA,4.60146821,NA
4,Mg_001,4,23.06961722,NA,6.22072386,NA
5,Mg_001,5,24.93421052,NA,8.40551913,NA
6,Mg_001,6,26.58038277,NA,10.30414574,NA
7,Mg_001,7,28.26220095,NA,12.70459539,NA
8,Mg_001,8,30.15574162,NA,14.6178088,NA
9,Mg_001,9,31.86172248,NA,16.85582677,NA
10,Mg_001,10,33.52320573,NA,18.34846844,NA
11,Mg_001,12,37.64760765,NA,22.23949674,NA
12,Mg_001,14,41.76004785,NA,24.93343817,NA
13,Mg_001,16,46.20741627,NA,28.03087081,NA
14,Mg_001,18,50.69641149,NA,33.12985602,NA
15,Mg_001,20,55.71555025,NA,36.17249714,NA
16,Mg_001,22,61.14904307,NA,40.75323555,NA
17,Mg_001,24,66.17822967,NA,44.48856247,NA
18,Mg_001,26,70.32655503,NA,52.39210288,NA
19,Mg_001,28,74.91842105,NA,58.10295026,NA
20,Mg_001,30,79.24138755,NA,64.18765632,NA
21,Mg_001,32,83.96866027,NA,70.78054546,NA
22,Mg_001,34,87.97153109,NA,85.1107633,NA
23,Mg_001,36,91.75047845,NA,106.9135794,NA
24,Mg_001,38,96.45669855,NA,152.3396216,NA
25,Mg_001,40,99.90215309,NA,NA,NA
26,Mg_002,1,2.30150309,NA,1.488096,NA
27,Mg_002,2,5.80901856,NA,4.34402606,NA
28,Mg_002,3,9.05658708,NA,6.9200071,NA
29,Mg_002,4,11.87533155,NA,9.65110353,NA
30,Mg_002,5,14.70645445,NA,12.03487407,NA
31,Mg_002,6,16.50044207,NA,13.79186049,NA
32,Mg_002,7,18.04067196,NA,16.09661679,NA
33,Mg_002,8,19.61361626,NA,18.24862751,NA
34,Mg_002,9,21.67020335,NA,21.05131671,NA
35,Mg_002,10,23.42263483,NA,23.66749236,NA
36,Mg_002,11,24.88152077,NA,25.30203473,NA
37,Mg_002,12,26.97259062,NA,28.06895344,NA
38,Mg_002,13,28.9204244,NA,31.1296723,NA
39,Mg_002,14,30.53757736,NA,33.81995091,NA
40,Mg_002,15,32.08664898,NA,36.56243619,NA
41,Mg_002,16,33.73740053,NA,39.58669884,NA
42,Mg_002,17,35.57648099,NA,43.07376506,NA
43,Mg_002,18,37.66047745,NA,47.45965992,NA
44,Mg_002,19,39.68081344,NA,51.46505348,NA
45,Mg_002,20,41.72148541,NA,55.89855013,NA
46,Mg_002,21,43.99027409,NA,61.8108121,NA
47,Mg_002,22,45.99204244,NA,67.63063033,NA
48,Mg_002,23,47.7020336,NA,72.53296398,NA
49,Mg_002,24,49.79929266,NA,78.57517941,NA
50,Mg_002,25,51.81609195,NA,85.7580628,NA
51,Mg_002,26,53.78603006,NA,93.36247935,NA
52,Mg_002,27,56.20070734,NA,104.9690602,NA
53,Mg_002,28,58.55879753,NA,120.1854045,NA
54,Mg_002,29,60.66312998,NA,149.8544593,NA
55,Mg_002,30,62.7718833,NA,186.6353261,NA
56,Mg_002,31,65.17948719,NA,NA,NA
57,Mg_003,1,1.73563218,NA,1.0339003,NA
58,Mg_003,2,3.41821397,NA,2.15537045,NA
59,Mg_003,3,5.11494253,NA,3.36537192,NA
60,Mg_003,4,9.36870027,NA,5.94004816,NA
61,Mg_003,5,11.38019452,NA,7.31553603,NA
62,Mg_003,6,13.18921309,NA,9.41193189,NA
63,Mg_003,7,15.06012379,NA,11.15869802,NA
64,Mg_003,8,16.5994695,NA,12.58025624,NA
65,Mg_003,9,18.37312114,NA,14.36669176,NA
66,Mg_003,10,19.93457118,NA,15.93379298,NA
67,Mg_003,11,21.99734748,NA,18.39361759,NA
68,Mg_003,12,23.59416446,NA,20.36799423,NA
69,Mg_003,13,25.56056587,NA,22.35428431,NA
70,Mg_003,14,27.26878868,NA,24.21743248,NA
71,Mg_003,15,28.48099027,NA,25.70926921,NA
72,Mg_003,16,29.68435013,NA,27.18723595,NA
73,Mg_003,17,31.16445623,NA,29.1479881,NA
74,Mg_003,18,32.68788682,NA,31.56185694,NA
75,Mg_003,19,33.86648983,NA,33.48987257,NA
76,Mg_003,20,35.41821397,NA,36.11571119,NA
77,Mg_003,21,36.86206897,NA,39.12615601,NA
78,Mg_003,22,38.40229886,NA,42.79317991,NA
79,Mg_003,23,39.7055703,NA,46.33968639,NA
80,Mg_003,24,41.41909815,NA,51.01311662,NA
81,Mg_003,25,43.07603891,NA,56.32911623,NA
82,Mg_003,26,44.30415562,NA,60.22436695,NA
83,Mg_003,27,45.70910699,NA,67.96908239,NA
84,Mg_003,28,47.24049514,NA,74.30085525,NA
85,Mg_003,29,48.89655173,NA,80.09218465,NA
