"","Core","Depth","Acc.Mass","Age","Age.Pb","Age.C","Age1","Age.Pb1","Age.C1"
"1","Sg_587",1.278,56.6,-68,-68,-19,0,0,49
"2","Sg_587",2.556,108.2,-65,-65,25,3,3,93
"3","Sg_587",3.834,157.8,-59,-60,68,9,8,136
"4","Sg_587",5.112,209.4,-51,-55,113,17,13,181
"5","Sg_587",6.39,256,-41,-51,153,27,17,221
"6","Sg_587",7.668,297.6,-31,-48,190,37,20,258
"7","Sg_587",8.946,341.2,-21,-44,228,47,24,296
"8","Sg_587",10.224,389.8,-10,-39,271,58,29,339
"9","Sg_587",11.502,436.4,1,-35,311,69,33,379
"10","Sg_587",12.78,476,17,-32,346,85,36,414
"11","Sg_587",14.058,512.6,32,-28,378,100,40,446
"12","Sg_587",15.336,559.2,51,-24,419,119,44,487
"13","Sg_587",16.614,610.8,73,-19,464,141,49,532
"14","Sg_587",17.892,657.4,101,-15,503,169,53,571
"15","Sg_587",19.17,701,130,-11,540,198,57,608
"16","Sg_587",20.448,756.6,167,-5,588,235,63,656
"17","Sg_587",21.726,795.2,202,-2,621,270,66,689
"18","Sg_587",23.004,838.8,246,3,660,314,71,728
"19","Sg_587",24.282,885.4,291,8,701,359,76,769
"20","Sg_587",25.56,932,337,12,742,405,80,810
"21","Sg_587",26.838,982.6,386,18,786,454,86,854
"22","Sg_587",28.116,1034.2,436,23,831,504,91,899
"23","Sg_587",29.394,1074.8,476,27,867,544,95,935
"24","Sg_587",30.672,1125.4,524,32,910,592,100,978
"25","Sg_587",31.95,1159,557,35,940,625,103,1008
"26","Sg_587",33.228,1194.6,592,39,971,660,107,1039
"27","Sg_587",34.506,1235.2,630,43,1006,698,111,1074
"28","Sg_587",35.784,1282.8,677,48,1048,745,116,1116
"29","Sg_587",37.062,1329.4,721,52,1087,789,120,1155
"30","Sg_587",38.34,1366,758,56,1120,826,124,1188
"31","Sg_587",39.618,1412.6,809,61,1164,877,129,1232
"32","Sg_587",40.896,1463.2,865,66,1211,933,134,1279
"33","Sg_587",42.174,1507.8,914,71,1253,982,139,1321
"34","Sg_587",43.452,1543.4,953,74,1286,1021,142,1354
"35","Sg_587",44.73,1579,992,78,1319,1060,146,1387
"36","Sg_587",46.008,1628.6,1047,83,1366,1115,151,1434
"37","Sg_587",47.286,1664.2,1086,87,1399,1154,155,1467
"38","Sg_587",48.564,1702.8,1128,91,1436,1196,159,1504
"39","Sg_587",49.842,1733.4,1162,94,1464,1230,162,1532
"40","Sg_587",51.12,1780.9,1214,99,1509,1282,167,1577
"41","Sg_587",52.398,1830.58,1270,104,1555,1338,172,1623
"42","Sg_587",53.676,1890.18,1334,109,1611,1402,177,1679
"43","Sg_587",54.954,1923.78,1370,113,1642,1438,181,1710
"44","Sg_587",56.232,1977.38,1429,118,1692,1497,186,1760
"45","Sg_587",57.51,2014.98,1468,122,1727,1536,190,1795
"46","Sg_587",58.788,2073.58,1527,128,1783,1595,196,1851
"47","Sg_587",60.066,2135.74,1590,134,1841,1658,202,1909
"48","Sg_587",61.344,2186.86,1642,140,1890,1710,208,1958
"49","Sg_587",62.622,2234.46,1688,144,1934,1756,212,2002
"50","Sg_587",63.9,2301.06,1755,151,1997,1823,219,2065
"51","Sg_587",65.178,2362.66,1818,157,2057,1886,225,2125
"52","Sg_587",66.456,2400.26,1855,161,2092,1923,229,2160
"53","Sg_587",67.734,2451.86,1907,166,2141,1975,234,2209
"54","Sg_587",69.012,2501.46,1956,171,2187,2024,239,2255
"55","Sg_587",70.29,2560.06,2015,177,2249,2083,245,2317
"56","Sg_587",71.568,2600.66,2057,182,2290,2125,250,2358
"57","Sg_587",72.846,2638.26,2094,185,2327,2162,253,2395
"58","Sg_587",74.124,2708.86,2166,193,2398,2234,261,2466
"59","Sg_587",75.402,2753.46,2211,197,2444,2279,265,2512
"60","Sg_587",76.68,2803.06,2262,202,2495,2330,270,2563
"61","Sg_587",77.958,2859.66,2320,208,2552,2388,276,2620
"62","Sg_587",79.236,2898.26,2358,212,2591,2426,280,2659
"63","Sg_587",80.514,2956.86,2418,218,2651,2486,286,2719
"64","Sg_587",81.792,3000.46,2462,222,2694,2530,290,2762
"65","Sg_587",83.07,3062.06,2524,228,2759,2592,296,2827
"66","Sg_587",84.348,3113.66,2576,234,2812,2644,302,2880
"67","Sg_587",85.626,3164.26,2626,239,2864,2694,307,2932
"68","Sg_587",86.904,3211.86,2674,243,2913,2742,311,2981
"69","Sg_587",88.182,3258.46,2720,248,2960,2788,316,3028
"70","Sg_587",89.46,3317.06,2780,254,3020,2848,322,3088
"71","Sg_587",90.738,3369.66,2834,259,3074,2902,327,3142
"72","Sg_587",92.016,3425.26,2889,265,3129,2957,333,3197
"73","Sg_587",93.294,3475.86,2940,270,3181,3008,338,3249
"74","Sg_587",94.572,3530.46,2995,276,3235,3063,344,3303
"75","Sg_587",95.85,3592.06,3057,282,3298,3125,350,3366
"76","Sg_587",96.6168,3619.66,3086,285,3327,3154,353,3395
"77","Sg_587",98.406,3683.26,3150,291,3391,3218,359,3459
"78","Sg_587",99.9396,3739.86,3208,297,3449,3276,365,3517
"79","Sg_587",101.2176,3785.46,3254,301,3494,3322,369,3562
"80","Sg_588",1.016,20.6,-68,-68,-54,0,0,14
"81","Sg_588",2.032,35.2,-66,-66,-44,2,2,24
"82","Sg_588",3.048,45.8,-65,-65,-37,3,3,31
"83","Sg_588",4.064,51.4,-64,-64,-33,4,4,35
"84","Sg_588",5.08,62,-62,-62,-26,6,6,42
"85","Sg_588",6.096,86.6,-58,-58,-9,10,10,59
"86","Sg_588",7.112,104.2,-56,-56,3,12,12,71
"87","Sg_588",8.128,137.8,-51,-51,27,17,17,95
"88","Sg_588",9.144,150.4,-49,-49,35,19,19,103
"89","Sg_588",10.16,160,-47,-48,42,21,20,110
"90","Sg_588",11.176,184.6,-43,-44,59,25,24,127
"91","Sg_588",12.192,207.2,-39,-41,74,29,27,142
"92","Sg_588",13.208,227.8,-34,-37,88,34,31,156
"93","Sg_588",14.224,260.4,-27,-32,109,41,36,177
"94","Sg_588",15.24,277,-22,-29,121,46,39,189
"95","Sg_588",16.256,289.6,-18,-27,130,50,41,198
"96","Sg_588",17.272,323.2,0,-20,153,68,48,221
"97","Sg_588",18.288,335.8,10,-18,162,78,50,230
"98","Sg_588",19.304,382.4,41,-8,194,109,60,262
"99","Sg_588",20.32,405,57,-3,209,125,65,277
"100","Sg_588",21.336,426.6,73,1,224,141,69,292
"101","Sg_588",22.352,471.2,104,10,254,172,78,322
"102","Sg_588",23.368,491.8,118,14,268,186,82,336
"103","Sg_588",24.384,516.4,135,19,285,203,87,353
