depth	min	max	median	mean
0	-71	-65	-68	-68
1	-70	-64	-67	-67
2	-70	-62	-67	-66
3	-69	-59	-66	-65
4	-69	-57	-65	-65
5	-69	-54	-64	-64
6	-69	-52	-64	-63
7	-68	-49	-63	-62
8	-68	-46	-63	-61
9	-68	-44	-62	-60
10	-68	-41	-61	-59
11	-68	-39	-61	-59
12	-68	-36	-60	-58
13	-68	-33	-59	-57
14	-68	-31	-59	-56
15	-68	-28	-58	-55
16	-68	-25	-57	-54
17	-67	-23	-57	-54
18	-67	-20	-56	-53
19	-67	-17	-55	-52
20	-67	-15	-55	-51
21	-66	-14	-54	-50
22	-66	-12	-53	-49
23	-65	-12	-52	-48
24	-65	-10	-51	-47
25	-64	-9	-50	-47
26	-64	-8	-49	-46
27	-64	-7	-48	-45
28	-64	-5	-47	-44
29	-63	-4	-46	-43
30	-63	-3	-45	-42
31	-63	-1	-45	-41
32	-62	0	-44	-40
33	-62	1	-43	-40
34	-62	4	-42	-39
35	-62	5	-41	-38
36	-62	8	-41	-37
37	-61	10	-40	-36
38	-61	12	-39	-35
39	-61	14	-38	-34
40	-61	16	-37	-33
41	-60	17	-37	-32
42	-59	17	-36	-32
43	-59	19	-35	-31
44	-58	20	-34	-30
45	-58	21	-33	-29
46	-57	22	-32	-28
47	-57	23	-31	-27
48	-56	24	-30	-26
49	-56	24	-29	-26
50	-55	25	-28	-25
51	-55	27	-28	-24
52	-55	29	-27	-23
53	-54	31	-26	-22
54	-54	32	-25	-21
55	-54	34	-24	-20
56	-53	35	-23	-20
57	-53	36	-23	-19
58	-53	38	-22	-18
59	-53	39	-21	-17
60	-52	41	-20	-16
61	-52	42	-19	-15
62	-51	42	-18	-14
63	-50	43	-17	-14
64	-49	44	-17	-13
65	-49	45	-16	-12
66	-48	46	-15	-11
67	-47	47	-14	-10
68	-47	48	-13	-9
69	-46	49	-12	-8
70	-46	51	-11	-8
71	-45	52	-11	-7
72	-45	53	-10	-6
73	-45	54	-9	-5
74	-44	56	-8	-4
75	-44	57	-7	-3
76	-44	59	-6	-2
77	-43	60	-5	-2
78	-43	61	-4	-1
79	-43	62	-4	0
80	-42	64	-3	1
81	-42	65	-2	2
82	-41	66	-1	3
83	-40	67	0	4
84	-40	68	1	4
85	-39	68	1	5
86	-38	69	2	6
87	-38	70	3	7
88	-37	72	4	8
89	-37	74	5	9
90	-36	75	6	10
91	-36	76	7	11
92	-35	77	8	11
93	-35	79	8	12
94	-35	79	9	13
95	-34	81	10	14
96	-34	81	11	15
97	-33	84	12	16
98	-33	86	13	17
99	-33	87	14	18
100	-32	89	15	18
101	-31	90	15	19
102	-31	90	16	20
103	-30	91	17	21
104	-29	92	18	22
105	-28	93	19	23
106	-28	93	20	24
107	-27	95	21	24
108	-26	96	22	25
109	-25	96	23	26
110	-25	97	24	27
111	-24	99	24	28
112	-24	99	25	29
113	-24	100	26	30
114	-23	101	27	30
115	-22	103	28	31
116	-22	104	29	32
117	-21	105	30	33
118	-21	107	31	34
119	-20	109	32	35
120	-20	110	32	36
121	-19	111	33	36
122	-18	112	34	37
123	-17	112	35	38
124	-16	113	36	39
125	-16	113	36	40
126	-15	115	37	41
127	-15	116	38	42
128	-14	117	39	43
129	-14	118	40	43
130	-13	119	41	44
131	-13	120	42	45
132	-12	122	42	46
133	-12	123	43	47
134	-12	124	44	48
135	-11	125	45	49
136	-11	127	46	49
137	-10	128	47	50
138	-9	129	48	51
139	-9	130	48	52
140	-8	132	49	53
141	-8	132	50	54
142	-7	133	51	55
143	-6	134	52	55
144	-5	135	52	56
145	-5	136	54	57
146	-4	137	54	58
147	-3	137	55	59
148	-3	138	56	60
149	-2	140	57	61
150	-2	141	58	62
151	-1	142	59	62
152	-1	143	60	63
153	0	144	61	64
154	1	145	62	65
155	1	146	63	66
156	2	147	64	67
157	3	148	65	68
158	4	149	66	68
159	4	151	67	69
160	5	152	67	70
161	5	152	68	71
162	6	153	69	72
163	7	154	70	73
164	7	154	71	74
165	8	156	72	75
166	8	157	73	75
167	9	159	73	76
168	9	159	74	77
169	10	161	75	78
170	11	162	76	79
171	12	163	77	80
172	12	164	78	81
173	13	165	78	82
174	13	166	79	83
175	14	168	80	83
176	14	168	81	84
177	15	169	82	85
178	15	170	83	86
179	15	172	84	87
180	16	174	84	88
181	17	175	85	89
182	18	175	86	90
183	19	176	87	90
184	20	178	88	91
185	21	179	89	92
186	21	180	90	93
187	22	181	91	94
188	23	182	92	95
189	24	184	93	96
190	24	185	93	96
191	25	187	94	97
192	26	188	95	98
193	26	189	96	99
194	26	191	97	100
195	27	192	98	101
196	27	192	98	102
197	28	193	99	103
198	28	194	100	103
199	29	196	101	104
200	29	197	102	105
201	30	198	103	106
202	31	199	104	107
203	32	200	105	108
204	33	200	106	109
205	34	201	107	109
206	34	202	107	110
207	35	203	108	111
208	36	204	109	112
209	37	206	110	113
210	38	206	111	114
211	38	207	112	115
212	39	208	113	116
213	39	210	114	116
214	40	211	115	117
215	40	212	116	118
216	41	213	116	119
217	41	214	117	120
218	42	215	118	121
219	43	216	119	122
220	43	218	120	123
221	44	218	121	123
222	44	219	122	124
223	45	220	123	125
224	46	221	123	126
225	46	222	124	127
226	47	223	125	128
227	48	224	126	128
228	48	225	127	129
229	49	225	128	130
230	49	226	128	131
231	49	227	129	132
232	50	228	130	133
233	51	229	131	133
234	51	231	132	134
235	52	232	133	135
236	53	233	134	136
237	54	234	134	137
238	55	235	135	138
239	55	236	136	139
240	56	238	137	139
241	56	239	137	140
242	57	240	138	141
243	58	241	139	142
244	59	242	140	143
245	59	243	141	144
246	60	243	142	145
247	61	244	143	146
248	61	246	144	146
249	62	247	144	147
250	62	248	145	148
251	63	250	146	149
252	64	251	147	150
253	64	252	148	151
254	65	254	149	152
255	65	255	150	152
256	66	256	151	153
257	67	257	151	154
258	67	259	152	155
259	68	259	153	156
260	69	261	154	157
261	69	262	155	158
262	70	263	156	159
263	70	263	157	159
264	71	264	158	160
265	73	265	158	161
266	73	266	159	162
267	74	267	160	163
268	75	269	161	164
269	75	270	162	165
270	76	271	163	166
271	76	272	164	167
272	77	272	165	167
273	77	273	166	168
274	78	274	167	169
275	78	276	167	170
276	79	278	169	171
277	80	279	169	172
278	80	280	170	173
279	81	282	171	174
280	81	283	172	175
281	82	283	173	175
282	83	284	174	176
283	84	284	175	177
284	85	285	175	178
285	86	286	176	179
286	87	287	177	180
287	88	288	178	181
288	89	289	179	181
289	89	290	179	182
290	90	290	180	183
291	91	291	181	184
292	91	292	182	185
293	92	293	183	186
294	93	295	184	187
295	94	296	184	188
296	94	297	185	188
297	95	297	186	189
298	96	300	187	190
299	97	300	188	191
300	97	302	189	192
301	98	302	190	193
302	99	303	191	194
303	100	305	192	195
304	101	306	193	196
305	102	306	193	196
306	103	308	194	197
307	104	308	195	198
308	104	309	196	199
309	105	310	197	200
310	105	311	198	201
311	106	312	198	202
312	107	313	199	203
313	107	313	200	203
314	107	315	201	204
315	108	316	202	205
316	109	317	203	206
317	109	318	203	207
318	110	319	204	208
319	111	320	205	209
320	111	322	206	210
321	112	323	207	210
322	112	323	207	211
323	113	324	208	212
324	114	325	209	213
325	114	326	210	214
326	115	327	211	215
327	116	328	212	216
328	117	329	212	217
329	118	330	213	218
330	119	331	214	218
331	119	333	215	219
332	120	334	216	220
333	120	336	217	221
334	121	337	217	222
335	121	339	218	223
336	122	339	219	224
337	123	340	220	225
338	123	342	221	226
339	124	342	222	226
340	125	343	223	227
341	126	344	224	228
342	126	345	225	229
343	127	346	226	230
344	128	347	227	231
345	128	348	227	232
346	129	349	228	233
347	130	350	230	234
348	130	351	231	234
349	131	352	231	235
350	132	353	232	236
351	133	354	233	237
352	133	356	234	238
353	134	357	235	239
354	135	359	236	240
355	136	360	237	241
356	136	362	237	241
357	137	363	238	242
358	137	365	239	243
359	138	367	240	244
360	139	367	241	245
361	140	368	241	246
362	141	369	242	247
363	142	370	243	248
364	142	370	244	248
365	143	370	245	249
366	144	371	246	250
367	145	372	247	251
368	145	373	247	252
369	146	373	248	253
370	147	374	250	254
371	148	375	250	255
372	149	376	251	255
373	150	378	252	256
374	151	379	253	257
375	152	380	254	258
376	152	382	255	259
377	153	383	256	260
378	153	384	257	261
379	154	385	258	261
380	155	386	259	262
381	155	387	260	263
382	156	388	260	264
383	157	389	261	265
384	158	389	262	266
385	159	390	263	267
386	160	391	264	268
387	161	392	265	269
388	162	393	266	269
389	162	393	267	270
390	163	395	268	271
391	163	396	268	272
392	164	396	269	273
393	164	397	270	274
394	165	398	271	275
395	165	399	271	276
396	166	400	272	277
397	166	400	273	277
398	167	402	274	278
399	168	403	275	279
400	169	404	276	280
401	169	405	277	281
402	170	406	278	282
403	171	406	279	283
404	172	407	280	284
405	172	408	281	284
406	173	410	282	285
407	173	411	283	286
408	174	411	283	287
409	175	412	284	288
410	176	413	285	289
411	176	414	286	290
412	177	415	287	290
413	177	416	287	291
414	178	417	288	292
415	178	418	289	293
416	179	419	290	294
417	180	421	291	295
418	180	422	292	296
419	182	424	293	296
420	182	425	293	297
421	183	426	294	298
422	184	427	295	299
423	185	427	296	300
424	186	428	297	301
425	187	429	298	302
426	188	430	299	302
427	188	431	300	303
428	189	432	301	304
429	190	433	302	305
430	191	433	302	306
431	191	435	303	307
432	192	435	304	307
433	193	436	305	308
