depth	min	max	median	mean
0	-73	-70	-72	-72
1	-73	-70	-72	-72
2	-73	-70	-72	-72
3	-73	-70	-72	-72
4	-73	-70	-72	-72
5	-73	-70	-72	-72
6	-73	-70	-72	-72
7	-73	-70	-72	-72
8	-73	-69	-72	-71
9	-73	-69	-72	-71
10	-73	-69	-71	-71
11	-73	-69	-71	-71
12	-73	-69	-71	-71
13	-73	-69	-71	-71
14	-73	-69	-71	-71
15	-73	-69	-71	-71
16	-73	-69	-71	-71
17	-72	-69	-71	-71
18	-72	-69	-71	-71
19	-72	-68	-71	-71
20	-72	-68	-71	-71
21	-72	-68	-71	-71
22	-72	-68	-71	-71
23	-72	-68	-71	-70
24	-72	-68	-70	-70
25	-72	-68	-70	-70
26	-72	-68	-70	-70
27	-72	-68	-70	-70
28	-72	-68	-70	-70
29	-72	-68	-70	-70
30	-72	-68	-70	-70
31	-72	-68	-70	-70
32	-72	-68	-70	-70
33	-72	-68	-70	-70
34	-72	-68	-70	-70
35	-72	-68	-70	-70
36	-72	-68	-70	-70
37	-72	-67	-70	-70
38	-72	-67	-69	-69
39	-71	-67	-69	-69
40	-71	-67	-69	-69
41	-71	-67	-69	-69
42	-71	-67	-69	-69
43	-71	-67	-69	-69
44	-71	-67	-69	-69
45	-71	-67	-69	-69
46	-71	-67	-69	-69
47	-71	-67	-69	-69
48	-71	-67	-69	-69
49	-71	-67	-69	-69
50	-70	-67	-69	-69
51	-70	-67	-69	-69
52	-70	-67	-69	-69
53	-70	-67	-68	-68
54	-70	-67	-68	-68
55	-70	-66	-68	-68
56	-70	-66	-68	-68
57	-70	-66	-68	-68
58	-70	-66	-68	-68
59	-70	-66	-68	-68
60	-70	-66	-68	-68
61	-70	-66	-68	-68
62	-70	-66	-68	-68
63	-70	-66	-68	-68
64	-70	-66	-68	-68
65	-70	-66	-68	-68
66	-70	-66	-68	-68
67	-70	-66	-68	-68
68	-69	-66	-68	-68
69	-69	-66	-67	-67
70	-69	-65	-67	-67
71	-69	-65	-67	-67
72	-69	-65	-67	-67
73	-69	-65	-67	-67
74	-69	-65	-67	-67
75	-69	-65	-67	-67
76	-69	-65	-67	-67
77	-69	-65	-67	-67
78	-69	-65	-67	-67
79	-69	-65	-67	-67
80	-69	-64	-67	-67
81	-69	-64	-67	-67
82	-69	-64	-67	-67
83	-69	-64	-67	-67
84	-69	-64	-67	-67
85	-69	-64	-67	-67
86	-68	-64	-67	-66
87	-68	-64	-66	-66
88	-68	-64	-66	-66
89	-68	-64	-66	-66
90	-68	-64	-66	-66
91	-68	-64	-66	-66
92	-68	-64	-66	-66
93	-68	-64	-66	-66
94	-68	-64	-66	-66
95	-68	-64	-66	-66
96	-68	-63	-66	-66
97	-68	-63	-66	-66
98	-68	-63	-66	-66
99	-68	-63	-66	-66
100	-68	-63	-66	-66
101	-68	-63	-66	-66
102	-67	-63	-66	-65
103	-67	-63	-65	-65
104	-67	-63	-65	-65
105	-67	-63	-65	-65
106	-67	-63	-65	-65
107	-67	-62	-65	-65
108	-67	-62	-65	-65
109	-67	-62	-65	-65
110	-67	-62	-65	-65
111	-67	-62	-65	-65
112	-67	-62	-65	-65
113	-67	-62	-65	-64
114	-67	-61	-64	-64
115	-67	-61	-64	-64
