depth	min	max	median	mean
0	-71	-65	-68	-68
1	-70	-64	-67	-67
2	-70	-63	-67	-67
3	-70	-61	-66	-66
4	-69	-59	-66	-65
5	-69	-57	-65	-65
6	-69	-55	-65	-64
7	-69	-53	-64	-63
8	-69	-51	-64	-63
9	-68	-49	-63	-62
10	-68	-47	-62	-61
11	-68	-45	-62	-61
12	-68	-42	-61	-60
13	-68	-40	-61	-59
14	-68	-38	-60	-58
15	-68	-36	-60	-58
16	-68	-34	-59	-57
17	-68	-32	-59	-56
18	-68	-30	-58	-56
19	-68	-28	-58	-55
20	-67	-26	-57	-54
21	-67	-24	-57	-54
22	-67	-22	-56	-53
23	-67	-19	-56	-52
24	-67	-17	-55	-52
25	-67	-15	-55	-51
26	-67	-13	-54	-50
27	-67	-11	-54	-50
28	-67	-8	-53	-49
29	-67	-6	-52	-48
30	-67	-4	-52	-48
31	-67	-2	-51	-47
32	-67	0	-51	-46
33	-66	2	-50	-46
34	-66	5	-50	-45
35	-66	7	-49	-44
36	-66	9	-49	-44
37	-66	11	-48	-43
38	-66	13	-48	-42
39	-66	15	-47	-42
40	-66	17	-47	-41
41	-66	20	-46	-40
42	-66	22	-46	-39
43	-66	24	-45	-39
44	-66	26	-44	-38
45	-66	28	-44	-37
46	-66	30	-43	-37
47	-66	32	-43	-36
48	-65	34	-42	-35
49	-65	36	-42	-35
50	-65	38	-41	-34
51	-65	39	-41	-33
52	-64	40	-40	-33
53	-64	41	-39	-32
54	-64	41	-38	-31
55	-63	42	-38	-31
56	-63	43	-37	-30
57	-63	44	-37	-29
58	-62	45	-36	-29
59	-62	46	-35	-28
60	-62	46	-34	-27
61	-61	48	-33	-26
62	-61	48	-33	-26
63	-61	49	-32	-25
64	-60	50	-31	-24
65	-60	51	-30	-24
66	-60	52	-30	-23
67	-60	53	-29	-22
68	-59	53	-28	-22
69	-59	54	-27	-21
70	-59	55	-27	-20
71	-59	56	-26	-20
72	-58	57	-25	-19
73	-58	58	-24	-18
74	-58	60	-24	-18
75	-58	61	-23	-17
76	-58	62	-22	-16
77	-58	63	-22	-16
78	-57	65	-21	-15
79	-57	66	-20	-14
80	-57	67	-19	-13
81	-57	68	-19	-13
82	-57	70	-18	-12
83	-57	71	-17	-11
84	-56	72	-17	-11
85	-56	74	-16	-10
86	-56	75	-16	-9
87	-56	76	-15	-9
88	-56	77	-15	-8
89	-56	78	-14	-7
90	-56	80	-13	-7
91	-55	81	-13	-6
92	-55	83	-12	-5
93	-55	84	-11	-5
94	-55	85	-11	-4
95	-55	87	-10	-3
96	-55	89	-10	-2
97	-54	90	-9	-2
98	-54	91	-8	-1
99	-54	92	-8	0
100	-54	93	-7	0
101	-53	94	-7	1
102	-53	95	-6	2
103	-52	96	-5	2
104	-51	97	-4	3
105	-51	98	-3	4
106	-50	99	-3	5
107	-50	100	-2	5
108	-49	101	-1	6
109	-49	102	0	7
110	-48	103	0	7
111	-48	103	1	8
112	-48	104	2	9
113	-47	106	2	9
114	-47	106	3	10
115	-46	107	4	11
116	-46	109	4	12
117	-46	110	5	12
118	-45	111	6	13
119	-45	112	7	14
120	-45	113	7	14
121	-45	114	8	15
122	-44	115	9	16
123	-44	116	9	16
124	-44	117	10	17
125	-43	119	11	18
126	-43	119	11	19
127	-43	119	12	19
128	-43	120	13	20
129	-42	121	14	21
130	-42	123	14	21
131	-42	124	15	22
132	-41	126	16	23
133	-41	126	16	23
134	-41	127	17	24
135	-41	128	18	25
136	-41	129	18	26
137	-40	130	19	26
138	-40	131	20	27
139	-40	133	21	28
140	-40	134	21	28
141	-39	135	22	29
142	-39	137	23	30
143	-39	140	23	30
144	-39	141	24	31
145	-39	143	25	32
146	-38	146	25	33
147	-38	147	26	33
148	-38	149	26	34
149	-37	151	27	35
150	-37	153	28	35
151	-37	154	28	36
152	-36	154	29	37
153	-35	154	30	37
154	-35	155	30	38
155	-34	155	31	39
156	-33	156	32	39
157	-33	156	32	40
158	-32	157	33	41
159	-31	157	34	41
160	-31	158	35	42
161	-30	158	36	43
162	-30	159	36	44
163	-29	160	37	44
164	-29	160	38	45
165	-29	161	39	46
166	-28	162	39	46
167	-28	162	40	47
168	-27	163	41	48
169	-27	164	41	48
170	-27	165	42	49
171	-26	165	43	50
172	-26	166	43	50
173	-26	166	44	51
174	-25	167	45	52
175	-25	168	45	52
176	-25	168	46	53
177	-24	169	47	54
178	-24	170	47	54
179	-24	171	48	55
180	-23	172	49	56
181	-23	173	49	56
182	-23	174	50	57
183	-22	176	51	58
184	-22	178	52	58
185	-22	179	52	59
186	-22	181	53	60
187	-21	181	54	60
188	-21	182	54	61
189	-21	183	55	62
190	-21	183	56	62
191	-20	184	56	63
192	-20	186	57	64
193	-20	187	57	64
194	-20	188	58	65
195	-19	190	58	66
196	-19	191	59	66
197	-19	193	60	67
198	-19	194	60	68
199	-18	194	61	68
200	-18	196	61	69
201	-17	196	62	70
202	-16	197	63	70
203	-16	197	63	71
204	-15	199	64	72
205	-15	200	65	72
206	-14	201	65	73
207	-14	202	66	74
208	-13	202	67	74
209	-12	203	68	75
210	-11	204	68	76
211	-10	204	69	77
212	-10	204	69	77
213	-9	206	70	78
214	-9	206	71	79
215	-9	206	71	79
216	-8	207	72	80
217	-8	207	73	81
218	-7	208	73	81
219	-7	209	74	82
220	-6	210	75	83
221	-6	210	75	83
222	-5	211	76	84
223	-5	212	77	85
224	-4	213	77	85
225	-4	215	78	86
226	-3	215	79	87
227	-3	217	79	87
228	-2	218	80	88
229	-2	219	81	89
230	-2	220	82	89
231	-2	222	82	90
232	-1	223	83	91
233	-1	224	84	91
234	0	225	84	92
235	0	226	85	93
236	1	227	85	93
237	1	229	86	94
238	2	230	87	95
239	2	231	87	95
240	3	232	88	96
241	3	233	89	97
242	3	234	90	97
243	4	236	90	98
244	4	237	91	99
245	5	238	92	99
246	5	240	93	100
247	5	241	93	101
248	6	241	94	101
249	6	243	95	102
250	7	245	96	103
251	7	246	96	103
252	8	247	97	104
253	9	248	97	105
254	9	248	98	105
255	10	249	98	106
256	10	250	99	107
257	11	251	100	107
258	11	252	100	108
259	12	252	101	109
260	12	254	102	109
261	13	254	102	110
262	13	256	103	111
263	14	257	103	112
264	14	257	104	112
265	15	258	105	113
266	15	258	106	114
267	16	259	106	114
268	16	261	107	115
269	17	261	108	116
270	17	262	109	116
271	18	263	110	117
272	18	263	110	118
273	18	264	111	118
274	19	265	111	119
275	20	266	112	120
276	20	267	113	120
277	21	269	113	121
278	21	270	114	122
279	21	270	115	122
280	21	270	115	123
281	22	271	116	124
282	22	272	117	125
283	22	273	118	125
284	22	274	119	126
285	23	275	119	127
286	23	276	120	127
287	24	277	121	128
288	24	277	121	129
289	24	280	122	129
290	24	280	122	130
291	25	281	123	131
292	25	282	124	131
293	26	284	125	132
294	26	285	125	133
295	26	286	126	133
296	27	287	127	134
297	27	288	127	135
298	27	290	128	135
299	27	291	129	136
300	27	292	129	137
301	28	293	130	138
302	29	294	131	138
303	30	294	131	139
304	31	294	132	140
305	33	295	133	140
306	33	295	134	141
307	34	296	134	142
308	34	297	135	142
309	35	297	136	143
310	36	298	137	144
311	36	298	138	144
312	37	299	138	145
313	37	299	139	146
314	38	300	140	146
315	39	300	141	147
316	39	301	141	148
317	40	302	142	149
318	40	304	143	149
319	41	305	143	150
320	41	305	144	151
321	41	305	145	151
322	42	306	145	152
323	42	307	146	153
324	43	308	147	153
325	43	309	148	154
326	43	310	149	155
327	44	311	149	155
328	44	311	150	156
329	45	312	151	157
330	45	313	151	158
331	46	314	152	158
332	46	315	153	159
333	46	315	153	160
334	47	316	154	160
335	47	317	155	161
336	48	318	155	162
337	48	318	156	162
338	48	319	157	163
339	48	321	158	164
340	49	322	158	164
341	49	323	159	165
342	49	324	160	166
343	50	325	160	166
344	50	326	161	167
345	51	327	162	168
346	51	329	162	169
347	51	330	163	169
348	52	332	164	170
349	52	333	164	171
350	52	335	165	171
351	53	335	166	172
352	54	337	166	173
353	55	337	167	173
354	56	338	167	174
355	57	338	168	175
356	58	339	169	175
357	59	340	170	176
358	59	341	171	177
359	60	342	171	178
360	61	343	172	178
361	61	343	172	179
362	62	344	173	180
363	63	344	173	180
364	64	345	174	181
365	64	346	175	182
366	65	347	175	182
367	65	348	176	183
368	65	348	177	184
369	66	349	178	185
370	66	350	179	185
371	67	351	179	186
372	67	352	180	187
373	68	352	181	187
374	69	353	182	188
375	70	353	182	189
376	70	354	183	189
377	71	355	184	190
378	71	356	184	191
379	72	357	185	192
380	72	357	186	192
381	72	358	187	193
382	73	359	187	194
383	73	360	188	194
384	74	360	189	195
385	74	360	189	196
386	75	360	190	196
387	75	361	191	197
388	75	362	191	198
389	75	363	192	198
390	76	364	193	199
391	76	364	193	200
392	76	364	194	201
393	76	366	195	201
394	77	367	196	202
395	77	368	196	203
396	77	369	197	203
397	78	370	198	204
398	78	372	198	205
399	79	373	199	205
400	79	374	200	206
401	79	374	200	207
402	80	375	201	207
403	80	375	202	208
404	81	375	203	209
405	81	375	203	209
406	82	376	204	210
407	82	376	205	211
408	82	377	205	211
409	83	378	206	212
410	83	378	207	213
411	83	379	208	213
412	85	379	208	214
413	85	379	209	215
414	85	380	210	215
415	86	381	211	216
416	86	382	211	217
417	87	383	212	217
418	87	384	213	218
419	87	385	213	219
420	88	386	214	219
