depth	min	max	median	mean
0	-73	-67	-71	-71
1	-73	-67	-71	-70
2	-72	-67	-71	-70
3	-72	-67	-70	-70
4	-72	-67	-70	-70
5	-72	-67	-70	-70
6	-72	-67	-70	-70
7	-72	-67	-70	-70
8	-71	-67	-70	-70
9	-71	-67	-70	-69
10	-71	-67	-69	-69
11	-71	-67	-69	-69
12	-71	-67	-69	-69
13	-71	-67	-69	-69
14	-70	-67	-69	-69
15	-70	-67	-69	-69
16	-70	-66	-69	-69
17	-70	-66	-68	-68
18	-70	-66	-68	-68
19	-70	-66	-68	-68
20	-69	-66	-68	-68
21	-69	-66	-68	-68
22	-69	-66	-68	-68
23	-69	-66	-68	-68
24	-69	-66	-67	-67
25	-69	-66	-67	-67
26	-69	-65	-67	-67
27	-69	-65	-67	-67
28	-69	-65	-67	-67
29	-68	-65	-67	-67
30	-68	-65	-67	-67
31	-68	-65	-67	-67
32	-68	-65	-66	-66
33	-68	-64	-66	-66
34	-68	-64	-66	-66
35	-68	-64	-66	-66
36	-68	-64	-66	-66
37	-68	-64	-66	-66
38	-68	-63	-66	-66
39	-68	-63	-66	-65
40	-67	-63	-65	-65
41	-67	-63	-65	-65
42	-67	-63	-65	-65
43	-67	-62	-65	-65
44	-67	-62	-65	-65
45	-67	-62	-65	-65
46	-67	-62	-65	-65
47	-67	-62	-64	-64
48	-67	-61	-64	-64
49	-67	-61	-64	-64
50	-67	-61	-64	-64
51	-67	-61	-64	-64
52	-67	-61	-64	-64
53	-66	-61	-64	-64
54	-66	-60	-63	-63
55	-66	-60	-63	-63
56	-66	-60	-63	-63
57	-66	-60	-63	-63
58	-65	-60	-63	-63
59	-65	-60	-63	-63
60	-65	-60	-63	-63
61	-65	-60	-62	-62
62	-65	-59	-62	-62
63	-65	-59	-62	-62
64	-65	-59	-62	-62
65	-65	-59	-62	-62
66	-64	-59	-62	-62
67	-64	-59	-61	-61
68	-64	-58	-61	-61
69	-64	-58	-61	-61
70	-64	-58	-61	-61
71	-64	-58	-61	-61
72	-64	-57	-61	-61
73	-64	-57	-61	-61
74	-64	-57	-60	-60
75	-64	-57	-60	-60
76	-64	-56	-60	-60
77	-64	-56	-60	-60
78	-64	-56	-60	-60
79	-64	-56	-60	-60
80	-64	-55	-60	-60
81	-63	-55	-59	-59
82	-63	-55	-59	-59
83	-63	-55	-59	-59
84	-63	-54	-59	-59
85	-63	-54	-59	-59
86	-63	-54	-59	-59
87	-63	-53	-59	-58
88	-63	-53	-58	-58
89	-63	-53	-58	-58
90	-63	-53	-58	-58
91	-63	-52	-58	-58
92	-63	-52	-58	-58
93	-63	-52	-58	-58
94	-63	-52	-58	-57
95	-63	-51	-57	-57
96	-63	-51	-57	-57
97	-63	-51	-57	-57
98	-63	-50	-57	-57
99	-63	-50	-57	-57
100	-62	-50	-57	-56
101	-62	-50	-56	-56
102	-62	-50	-56	-56
103	-62	-50	-56	-56
104	-62	-49	-56	-56
105	-61	-49	-56	-56
106	-61	-49	-56	-56
107	-61	-49	-56	-55
108	-61	-49	-55	-55
109	-60	-49	-55	-55
110	-60	-49	-55	-55
111	-60	-49	-55	-55
112	-60	-49	-55	-55
113	-60	-49	-55	-55
114	-59	-49	-55	-54
115	-59	-48	-54	-54
116	-59	-48	-54	-54
117	-59	-48	-54	-54
118	-59	-48	-54	-54
119	-59	-48	-54	-54
120	-59	-48	-54	-54
121	-58	-48	-54	-53
122	-58	-48	-53	-53
123	-58	-48	-53	-53
124	-58	-47	-53	-53
125	-58	-47	-53	-53
126	-58	-47	-53	-53
127	-58	-47	-53	-53
128	-57	-47	-52	-52
129	-57	-47	-52	-52
130	-57	-47	-52	-52
131	-57	-46	-52	-52
132	-57	-46	-52	-52
133	-57	-46	-52	-52
134	-57	-46	-52	-52
135	-57	-46	-51	-51
136	-57	-46	-51	-51
137	-57	-45	-51	-51
138	-57	-45	-51	-51
139	-56	-45	-51	-51
140	-56	-45	-51	-51
141	-56	-44	-51	-50
142	-56	-44	-50	-50
143	-56	-44	-50	-50
144	-56	-44	-50	-50
145	-56	-43	-50	-50
146	-56	-43	-50	-50
147	-56	-43	-50	-50
148	-56	-43	-50	-49
149	-56	-42	-49	-49
150	-56	-42	-49	-49
151	-55	-42	-49	-49
152	-55	-42	-49	-49
153	-55	-42	-49	-49
154	-55	-42	-49	-49
155	-55	-42	-49	-48
156	-54	-41	-48	-48
157	-54	-41	-48	-48
158	-54	-41	-48	-48
159	-54	-41	-48	-48
160	-54	-41	-48	-48
161	-54	-41	-48	-48
162	-54	-41	-48	-47
163	-53	-41	-47	-47
164	-53	-40	-47	-47
165	-53	-40	-47	-47
166	-53	-40	-47	-47
167	-53	-40	-47	-47
168	-53	-39	-47	-47
169	-53	-39	-46	-46
170	-53	-39	-46	-46
171	-53	-39	-46	-46
172	-53	-39	-46	-46
173	-53	-39	-46	-46
174	-52	-38	-46	-46
175	-52	-38	-46	-45
176	-52	-38	-45	-45
177	-52	-38	-45	-45
178	-52	-37	-45	-45
179	-52	-37	-45	-45
180	-52	-37	-45	-45
181	-52	-37	-45	-45
182	-52	-36	-45	-44
183	-52	-36	-44	-44
184	-52	-36	-44	-44
185	-52	-35	-44	-44
186	-52	-35	-44	-44
187	-51	-35	-44	-44
188	-51	-35	-44	-44
189	-51	-34	-44	-43
190	-51	-34	-43	-43
191	-51	-34	-43	-43
192	-51	-33	-43	-43
193	-51	-33	-43	-43
194	-51	-32	-43	-43
195	-51	-32	-43	-43
196	-51	-32	-43	-42
197	-51	-32	-43	-42
198	-51	-31	-42	-42
199	-51	-31	-42	-42
200	-51	-30	-42	-42
201	-51	-30	-42	-42
202	-50	-30	-42	-41
203	-50	-30	-42	-41
204	-50	-30	-42	-41
205	-50	-30	-41	-41
206	-50	-30	-41	-41
207	-49	-30	-41	-41
208	-49	-30	-41	-40
209	-49	-29	-41	-40
210	-49	-29	-41	-40
211	-49	-29	-41	-40
212	-49	-29	-40	-40
213	-49	-29	-40	-40
214	-48	-29	-40	-40
215	-48	-29	-40	-39
216	-48	-28	-40	-39
217	-48	-28	-39	-39
218	-48	-28	-39	-39
219	-48	-28	-39	-39
220	-48	-28	-39	-39
221	-47	-27	-39	-38
222	-47	-27	-39	-38
223	-47	-27	-38	-38
224	-47	-27	-38	-38
225	-47	-27	-38	-38
226	-47	-26	-38	-38
227	-47	-26	-38	-37
228	-47	-26	-38	-37
229	-47	-25	-37	-37
230	-47	-25	-37	-37
231	-47	-25	-37	-37
232	-47	-25	-37	-37
233	-47	-24	-37	-37
234	-46	-24	-37	-36
235	-46	-24	-36	-36
236	-46	-24	-36	-36
237	-46	-23	-36	-36
238	-46	-23	-36	-36
239	-46	-23	-36	-36
240	-46	-22	-36	-35
241	-46	-22	-35	-35
242	-46	-22	-35	-35
243	-46	-22	-35	-35
244	-46	-21	-35	-35
245	-46	-21	-35	-35
246	-46	-21	-35	-34
247	-46	-20	-35	-34
248	-45	-20	-35	-34
249	-45	-20	-34	-34
250	-45	-20	-34	-34
251	-45	-19	-34	-34
252	-45	-19	-34	-33
253	-45	-19	-34	-33
254	-44	-19	-34	-33
255	-44	-19	-33	-33
256	-44	-19	-33	-33
257	-44	-19	-33	-33
258	-44	-18	-33	-32
259	-44	-18	-33	-32
260	-43	-18	-33	-32
261	-43	-18	-32	-32
262	-43	-18	-32	-32
263	-43	-17	-32	-32
264	-43	-17	-32	-31
265	-43	-17	-32	-31
266	-42	-17	-31	-31
267	-42	-17	-31	-31
268	-42	-17	-31	-31
269	-42	-16	-31	-31
270	-42	-16	-31	-30
271	-42	-16	-31	-30
272	-42	-16	-30	-30
273	-42	-15	-30	-30
274	-41	-15	-30	-30
275	-41	-15	-30	-29
276	-41	-15	-30	-29
277	-41	-14	-29	-29
278	-41	-14	-29	-29
279	-41	-14	-29	-29
280	-41	-13	-29	-29
281	-41	-13	-29	-28
282	-41	-13	-29	-28
283	-41	-12	-29	-28
284	-40	-12	-28	-28
285	-40	-12	-28	-28
286	-40	-12	-28	-28
287	-40	-11	-28	-27
288	-40	-11	-28	-27
289	-40	-11	-28	-27
290	-40	-11	-27	-27
291	-40	-10	-27	-27
292	-40	-10	-27	-27
293	-40	-10	-27	-26
294	-40	-9	-27	-26
295	-40	-9	-27	-26
296	-40	-9	-27	-26
297	-40	-8	-26	-26
298	-40	-8	-26	-26
299	-40	-8	-26	-25
300	-39	-7	-26	-25
301	-39	-7	-26	-25
302	-39	-7	-25	-25
303	-39	-6	-25	-25
304	-39	-6	-25	-24
305	-39	-6	-25	-24
306	-38	-6	-25	-24
307	-38	-5	-24	-24
308	-38	-5	-24	-23
309	-38	-5	-24	-23
310	-38	-5	-24	-23
311	-38	-4	-24	-23
312	-37	-4	-23	-23
313	-37	-4	-23	-22
314	-37	-3	-23	-22
315	-37	-3	-23	-22
316	-37	-3	-23	-22
317	-37	-2	-22	-22
318	-37	-2	-22	-21
319	-36	-2	-22	-21
320	-36	-1	-22	-21
321	-36	-1	-22	-21
322	-36	0	-21	-21
323	-36	0	-21	-20
324	-36	0	-21	-20
325	-36	1	-21	-20
326	-36	1	-21	-20
327	-36	1	-20	-20
328	-36	2	-20	-19
329	-36	2	-20	-19
330	-35	3	-20	-19
331	-35	3	-20	-19
332	-35	4	-19	-18
333	-35	4	-19	-18
334	-35	5	-19	-18
335	-35	5	-19	-18
336	-35	6	-19	-18
337	-35	6	-18	-17
338	-35	6	-18	-17
339	-35	7	-18	-17
340	-35	7	-18	-17
341	-35	8	-18	-17
342	-35	8	-18	-16
343	-35	9	-17	-16
344	-34	9	-17	-16
345	-34	10	-17	-16
346	-34	10	-17	-16
347	-34	11	-17	-15
348	-34	11	-16	-15
349	-34	12	-16	-15
350	-34	13	-16	-15
351	-34	13	-16	-15
352	-34	13	-16	-14
353	-33	13	-16	-14
354	-33	13	-15	-14
355	-33	13	-15	-14
356	-33	13	-15	-13
357	-33	14	-15	-13
358	-32	14	-14	-13
359	-32	14	-14	-13
360	-32	14	-14	-13
361	-32	15	-14	-12
362	-32	15	-14	-12
363	-31	15	-13	-12
364	-31	15	-13	-12
365	-31	16	-13	-12
366	-31	16	-13	-11
367	-31	16	-13	-11
368	-31	16	-12	-11
369	-31	17	-12	-11
370	-31	17	-12	-11
371	-30	17	-12	-10
372	-30	18	-12	-10
373	-30	18	-11	-10
374	-30	18	-11	-10
375	-30	19	-11	-10
376	-30	19	-11	-9
377	-30	19	-11	-9
378	-30	19	-10	-9
379	-30	20	-10	-9
380	-29	20	-10	-9
381	-29	20	-10	-8
382	-29	21	-10	-8
383	-29	21	-9	-8
384	-29	22	-9	-8
385	-29	22	-9	-8
386	-29	22	-9	-7
387	-29	23	-9	-7
388	-29	23	-8	-7
389	-29	24	-8	-7
390	-29	24	-8	-6
391	-29	24	-8	-6
392	-28	25	-8	-6
393	-28	25	-7	-6
394	-28	26	-7	-6
395	-28	26	-7	-5
396	-28	26	-7	-5
397	-28	27	-7	-5
398	-28	27	-6	-5
399	-28	28	-6	-5
400	-28	28	-6	-4
401	-27	28	-6	-4
402	-27	29	-6	-4
403	-27	29	-5	-4
404	-27	29	-5	-4
405	-27	30	-5	-3
406	-27	30	-5	-3
407	-27	30	-4	-3
408	-27	30	-4	-3
409	-26	30	-4	-3
410	-26	31	-4	-2
411	-26	31	-4	-2
412	-26	31	-3	-2
413	-26	31	-3	-2
414	-25	32	-3	-2
415	-25	32	-3	-1
416	-25	32	-3	-1
417	-25	33	-2	-1
418	-25	33	-2	-1
419	-25	33	-2	-1
420	-25	33	-2	0
421	-25	34	-2	0
422	-25	34	-1	0
423	-24	34	-1	0
424	-24	34	-1	0
425	-24	35	-1	1
426	-24	35	-1	1
427	-24	35	0	1
428	-24	35	0	1
429	-24	36	0	1
430	-23	36	0	2
431	-23	37	0	2
432	-23	37	1	2
433	-23	37	1	2
434	-23	38	1	2
435	-23	38	1	3
436	-23	38	1	3
437	-23	39	2	3
438	-23	39	2	3
439	-23	39	2	3
440	-22	40	2	4
441	-22	40	2	4
442	-22	41	3	4
443	-22	41	3	4
444	-22	41	3	5
445	-22	42	3	5
446	-22	42	3	5
447	-22	43	3	5
448	-22	43	4	5
449	-22	43	4	6
450	-22	43	4	6
451	-21	44	4	6
452	-21	44	4	6
453	-21	44	5	6
454	-21	44	5	7
455	-21	44	5	7
456	-20	45	5	7
457	-20	45	5	7
458	-20	45	6	7
459	-20	45	6	8
460	-20	46	6	8
461	-20	46	6	8
462	-19	46	7	8
463	-19	47	7	8
464	-19	47	7	9
465	-19	47	7	9
466	-19	47	7	9
467	-19	47	8	9
468	-19	48	8	9
469	-18	48	8	10
470	-18	48	8	10
471	-18	48	8	10
472	-18	48	8	10
473	-18	49	9	10
474	-18	49	9	11
475	-18	49	9	11
476	-18	49	9	11
477	-17	50	9	11
478	-17	50	10	11
479	-17	50	10	12
480	-17	51	10	12
481	-17	51	10	12
482	-17	51	10	12
483	-17	52	10	12
484	-17	52	11	13
485	-17	52	11	13
486	-16	52	11	13
487	-16	53	11	13
488	-16	53	12	13
489	-16	53	12	14
490	-16	54	12	14
491	-16	54	12	14
492	-16	55	12	14
493	-16	55	12	14
494	-16	56	13	15
495	-16	56	13	15
496	-16	56	13	15
497	-16	56	13	15
498	-16	57	13	15
499	-16	57	13	16
500	-16	57	14	16
501	-15	58	14	16
502	-15	58	14	16
503	-15	58	14	16
504	-15	59	15	17
505	-14	59	15	17
506	-14	59	15	17
507	-14	59	15	17
508	-14	59	15	17
509	-13	60	15	18
510	-13	60	16	18
511	-13	60	16	18
512	-13	60	16	18
513	-13	61	16	18
514	-12	61	17	19
515	-12	62	17	19
516	-12	62	17	19
517	-12	62	17	19
518	-12	62	17	19
519	-12	63	18	20
520	-12	63	18	20
521	-11	63	18	20
522	-11	64	18	20
523	-11	64	18	21
524	-11	64	19	21
525	-11	64	19	21
526	-11	64	19	21
527	-11	65	19	21
528	-11	65	19	22
529	-11	65	20	22
530	-11	65	20	22
531	-11	66	20	22
532	-10	66	20	22
533	-10	66	21	23
534	-10	67	21	23
535	-10	67	21	23
536	-10	68	21	23
537	-10	68	21	23
538	-9	68	21	24
539	-9	69	22	24
540	-9	69	22	24
541	-9	69	22	24
542	-9	70	22	24
543	-9	70	22	25
544	-9	70	23	25
545	-8	71	23	25
546	-8	71	23	25
547	-8	72	23	25
548	-8	72	24	26
549	-8	72	24	26
550	-8	72	24	26
551	-8	72	24	26
552	-7	73	25	27
553	-7	73	25	27
554	-7	73	25	27
555	-7	73	25	27
556	-7	74	25	27
557	-7	74	26	28
558	-7	74	26	28
559	-7	75	26	28
560	-7	75	26	28
561	-6	75	26	28
562	-6	75	27	29
563	-6	75	27	29
564	-6	76	27	29
565	-5	76	27	29
566	-5	76	28	29
567	-5	76	28	30
568	-5	76	28	30
569	-5	77	28	30
570	-5	77	28	30
571	-4	77	29	30
572	-4	77	29	31
573	-4	78	29	31
574	-4	78	29	31
575	-4	78	29	31
576	-4	78	30	32
577	-4	79	30	32
578	-3	79	30	32
579	-3	79	30	32
580	-3	80	30	32
581	-3	80	31	33
582	-3	80	31	33
583	-3	81	31	33
584	-3	81	31	33
585	-3	81	32	33
586	-3	82	32	34
587	-2	82	32	34
588	-2	82	32	34
589	-2	83	32	34
590	-2	83	32	34
591	-2	83	33	35
592	-2	83	33	35
593	-2	84	33	35
594	-1	84	33	35
595	-1	84	33	35
596	-1	84	34	36
597	-1	85	34	36
598	-1	85	34	36
599	-1	85	34	36
600	-1	86	35	36
601	-1	86	35	37
602	0	86	35	37
603	0	86	35	37
604	0	87	35	37
605	0	87	36	38
606	0	87	36	38
607	1	87	36	38
608	1	87	36	38
609	1	88	37	38
610	1	88	37	39
611	2	88	37	39
612	2	88	37	39
613	2	89	37	39
614	2	89	37	39
615	2	89	38	40
616	2	89	38	40
617	3	89	38	40
618	3	90	38	40
619	3	90	39	40
620	3	90	39	41
621	3	90	39	41
622	3	90	39	41
623	3	90	39	41
624	4	91	40	41
625	4	91	40	42
626	4	91	40	42
627	4	91	40	42
628	4	92	41	42
629	4	92	41	42
630	4	92	41	43
631	4	92	41	43
632	5	92	41	43
633	5	93	41	43
634	5	93	42	43
635	5	93	42	44
636	5	94	42	44
637	5	94	42	44
638	5	94	43	44
639	5	94	43	44
640	5	95	43	45
641	5	95	43	45
642	6	95	43	45
643	6	96	44	45
644	6	96	44	45
645	6	96	44	46
646	6	97	44	46
647	6	97	45	46
648	6	98	45	46
649	6	98	45	46
650	6	99	45	47
651	7	99	45	47
652	7	99	46	47
653	7	99	46	47
654	7	99	46	47
655	7	99	46	48
656	7	99	46	48
