ID;Ecosystem;Lat;Long;nearest_long;nearest_lat;nitratos;pH;phosphates;temperature;water.velocity;salinidade
Mg_ 1000;Mangrove;27.74221667;-82.46771667;-82.4750028;27.77499953;1.12840141;8.06331848;0.00106044;24.62179834;24.54976184;0.00505575
Mg_ 1001;Mangrove;27.74238333;-82.46776667;-82.4750028;27.77499953;1.12840141;8.06331848;0.00106044;24.62179834;24.54976184;0.00505575
Mg_ 1002;Mangrove;27.74261667;-82.46795;-82.4750028;27.77499953;1.12840141;8.06331848;0.00106044;24.62179834;24.54976184;0.00505575
Mg_ 1003;Mangrove;27.7427;-82.4682;-82.4750028;27.77499953;1.12840141;8.06331848;0.00106044;24.62179834;24.54976184;0.00505575
Mg_ 1004;Mangrove;8.30401;-82.3656;-82.32500279;8.324999859;0.18295096;8.04197827;0.18178553;28.84416307;28.79014321;0.04152222
Mg_ 1005;Mangrove;8.30401;-82.3656;-82.32500279;8.324999859;0.18295096;8.04197827;0.18178553;28.84416307;28.79014321;0.04152222
Mg_ 1006;Mangrove;8.30401;-82.3656;-82.32500279;8.324999859;0.18295096;8.04197827;0.18178553;28.84416307;28.79014321;0.04152222
Mg_ 1007;Mangrove;8.30401;-82.3656;-82.32500279;8.324999859;0.18295096;8.04197827;0.18178553;28.84416307;28.79014321;0.04152222
Mg_ 1008;Mangrove;8.30401;-82.3656;-82.32500279;8.324999859;0.18295096;8.04197827;0.18178553;28.84416307;28.79014321;0.04152222
Mg_ 1009;Mangrove;8.30401;-82.3656;-82.32500279;8.324999859;0.18295096;8.04197827;0.18178553;28.84416307;28.79014321;0.04152222
Mg_ 1010;Mangrove;8.33466;-82.4212;-82.4250028;8.27499986;0.1858165;8.04205217;0.17870679;28.73947212;28.73123758;0.04822273
Mg_ 1011;Mangrove;8.33466;-82.4212;-82.4250028;8.27499986;0.1858165;8.04205217;0.17870679;28.73947212;28.73123758;0.04822273
Mg_ 1012;Mangrove;8.33466;-82.4212;-82.4250028;8.27499986;0.1858165;8.04205217;0.17870679;28.73947212;28.73123758;0.04822273
Mg_ 1013;Mangrove;8.33466;-82.4212;-82.4250028;8.27499986;0.1858165;8.04205217;0.17870679;28.73947212;28.73123758;0.04822273
Mg_ 1014;Mangrove;8.33466;-82.4212;-82.4250028;8.27499986;0.1858165;8.04205217;0.17870679;28.73947212;28.73123758;0.04822273
