"","ID","Ecosystem","P","k","Max.Age"
"1","Sg_001","Seagrass",NA,NA,52
"2","Sg_002","Seagrass",0.0056748693198935,0.00883834867831954,149
"3","Sg_003","Seagrass",0.00382272727799321,0.00306625815264763,139
"4","Sg_005","Seagrass",0.00293422388468369,0.0196068131570048,149
"5","Sg_019","Seagrass",0.00251542489422634,0.00858575879397821,127
"6","Sg_041","Seagrass",NA,NA,146
"7","Sg_109","Seagrass",NA,NA,135
"8","Sg_110","Seagrass",0.00290082961498279,0.0187662483763472,141
"9","Sg_119","Seagrass",0.0078446387245222,0.00676181661899618,123
"10","Sg_170","Seagrass",0.0024827678454075,0.0069356845907434,121
"11","Sg_192","Seagrass",0.000719544344748195,0.012810965029727,136
"12","Sg_241","Seagrass",NA,NA,140
"13","Sg_244","Seagrass",0.0101882341900601,0.0322283558167988,141
"14","Sg_285","Seagrass",0.00312185798635198,0.019671114296798,128
"15","Sg_298","Seagrass",0.0123068988809165,0.037814667793827,146
"16","Sg_310","Seagrass",0.0138879168210222,0.00942491615374158,140
"17","Sg_311","Seagrass",0.00880707448294045,0.00940489557505286,148
"18","Sg_312","Seagrass",0.00297914197106991,0.00903087694543938,129
"19","Sg_316","Seagrass",0.0187143297461647,0.00462291405437001,57.5
"20","Sg_317","Seagrass",0.016479338476477,0.0115444507444132,51
"21","Sg_321","Seagrass",0.00962330027709074,0.00137141055250111,83
"22","Sg_323","Seagrass",0.00223764620019421,-0.00436420372865208,142
"23","Sg_324","Seagrass",NA,NA,134
"24","Sm_010","Tidal Marsh",0.00254210780000795,0.0115615371323361,110
"25","Sm_027","Tidal Marsh",NA,NA,141
"26","Sm_034","Tidal Marsh",0.00869951541555964,0.0109039157382579,139
