"","ID","Ecosystem","P","k","Max.Age"
"1","Sg_002","Seagrass",0.00952138810066967,0.0149815221556622,145
"2","Sg_003","Seagrass",0.00590895576426883,0.00847469129890851,140
"3","Sg_004","Seagrass",0.00290461343177308,0.0163671907776686,137
"4","Sg_005","Seagrass",0.00337901917144838,0.0244082536328149,137
"5","Sg_019","Seagrass",0.00794726187648601,0.0164158319784745,145
"6","Sg_030","Seagrass",NA,NA,89
"7","Sg_041","Seagrass",0.00918382969801542,0.0123782903927074,141
"8","Sg_097","Seagrass",0.00919049624035979,0.0233706124342781,105
"9","Sg_110","Seagrass",0.00316428580865472,0.0185626608158547,105
"10","Sg_111","Seagrass",0.0102427137873313,0.0412323111187327,117
"11","Sg_112","Seagrass",0.00752217417168719,0.034243561033515,119
"12","Sg_117","Seagrass",0.0057137395832264,0.0145874189798566,137
"13","Sg_119","Seagrass",0.0150890344714891,0.0158030049356011,120
"14","Sg_120","Seagrass",0.00809654941038249,0.00946590762574242,146
"15","Sg_121","Seagrass",0.0165333698846381,0.00902836941848604,135
"16","Sg_170","Seagrass",0.00910015170985106,0.0104637391410295,134
"17","Sg_191","Seagrass",NA,NA,130
"18","Sg_244","Seagrass",0.0131194905217046,0.0351587510403411,145
"19","Sg_247","Seagrass",0.00849127789247352,0.0083020618052413,140
"20","Sg_285","Seagrass",NA,NA,92
"21","Sg_298","Seagrass",0.0117348029702493,0.0393819649196996,132
"22","Sg_310","Seagrass",0.0340636480821134,0.0253429475243718,148
"23","Sg_311","Seagrass",0.0202763598648328,0.0243676462933976,148
"24","Sg_312","Seagrass",0.0114173375154329,0.0197192450428062,141
"25","Sg_314","Seagrass",0.0173819764957887,0.0219287537441805,139
"26","Sg_316","Seagrass",0.0308062394149128,-0.0299074362841609,22.5
"27","Sg_317","Seagrass",0.0138997319421526,-0.0907072253095004,19
"28","Sg_321","Seagrass",0.0245098393382716,-0.0186857979026209,25
"29","Sg_323","Seagrass",0.00720195450553527,0.00366558126653263,148
"30","Sm_004","Tidal Marsh",0.127592020986314,0.765344745876909,136
"31","Sm_010","Tidal Marsh",0.00337156422107237,0.0178318067529264,142
"32","Sm_022","Tidal Marsh",0.00239542373596597,-0.00425306442754615,144
"33","Sm_027","Tidal Marsh",0.00181148686451877,0.00624253839875325,148
"34","Sm_034","Tidal Marsh",0.0157893677073655,0.0127309413838728,137
