"","ID","Ecosystem","P","k","Max.Age"
"1","Mg_010","Mangrove",0.0285898337383277,0.0332481744753935,143.9
"2","Mg_011","Mangrove",0.0249053940476941,0.0204465341219617,139.8
"3","Mg_012","Mangrove",0.0165819515339077,0.0138585002195445,105.3
"4","Mg_015","Mangrove",0.00235547802614116,0.0180389165783001,105.9018101
"5","Mg_016","Mangrove",0.00449323375881836,0.0160952605518918,370.071527
"6","Mg_023","Mangrove",0.0087192136592264,0.004090848961472,890
"7","Sg_002","Seagrass",0.00677364238556393,0.00957121021064454,779
"8","Sg_003","Seagrass",0.00481527941986268,0.00661867915296609,571
"9","Sg_004","Seagrass",0.00234744219543555,0.0116564138849544,779
"10","Sg_005","Seagrass",0.0014749525976311,0.00664709839817935,936
"11","Sg_011","Seagrass",0.00423754646926025,0.0020885600405164,178
"12","Sg_019","Seagrass",0.00618867224960906,0.0109541525952963,602
"13","Sg_030","Seagrass",0.000209756921091128,0.000296703276981667,4173
"14","Sg_031","Seagrass",0.000708072956160367,0.00113962291578954,1507
"15","Sg_032","Seagrass",NA,NA,6866
"16","Sg_038","Seagrass",NA,NA,1043
"17","Sg_041","Seagrass",0.0060856226802025,0.00937601291867349,5678
"18","Sg_042","Seagrass",NA,NA,1823
"19","Sg_043","Seagrass",NA,NA,1585
"20","Sg_045","Seagrass",0.00112531033484226,0.000887997358963934,1194
"21","Sg_057","Seagrass",NA,NA,1840
"22","Sg_058","Seagrass",NA,NA,5371
"23","Sg_081","Seagrass",0.00502031584625587,0.00372421554092184,257
"24","Sg_083","Seagrass",NA,NA,1522
"25","Sg_084","Seagrass",0.000332930614510482,0.000651645457037559,1514
"26","Sg_088","Seagrass",0.00187896538824604,0.00683513889168699,1113
"27","Sg_097","Seagrass",0.0106137375378475,0.0317697399104148,4583
"28","Sg_109","Seagrass",NA,NA,4231
"29","Sg_110","Seagrass",0.0013607799035605,0.00143742515278741,1758
"30","Sg_113","Seagrass",0.000464516265225992,0.000494949711541785,2406
"31","Sg_115","Seagrass",0.000572670600137946,0.000961693337884449,1690
"32","Sg_119","Seagrass",0.00654884168600826,0.0029316590577832,852
"33","Sg_120","Seagrass",NA,NA,2905
"34","Sg_121","Seagrass",NA,NA,5953
"35","Sg_123","Seagrass",0.00648244652725367,0.00526415326895667,355
"36","Sg_170","Seagrass",NA,NA,4853
"37","Sg_177","Seagrass",0.00170874078667061,0.000375164821345314,900
"38","Sg_178","Seagrass",0.00174633226767855,0.00138561755124805,857
"39","Sg_179","Seagrass",0.00160637078062747,0.000567716110081219,1075
"40","Sg_190","Seagrass",0.00340131387644526,0.0020565524470073,480
"41","Sg_191","Seagrass",NA,NA,18515
"42","Sg_193","Seagrass",NA,NA,4102
"43","Sg_241","Seagrass",NA,NA,1370
"44","Sg_247","Seagrass",NA,NA,3730
"45","Sg_252","Seagrass",0.000126943506172366,0.000548311767631816,1782
"46","Sg_261","Seagrass",0.000527140781082836,0.000831053774774813,1882
"47","Sg_278","Seagrass",0.0075530918609336,0.00417651369966345,286
"48","Sg_279","Seagrass",0.000662304525033748,0.000379695299915809,3884
"49","Sg_291","Seagrass",0.00379548205451461,0.000808728493720577,1207
"50","Sg_298","Seagrass",0.00213146614951631,0.00034613658026534,1043
"51","Sg_310","Seagrass",0.0299741403537378,0.0218140772238049,399
"52","Sg_311","Seagrass",0.00690554100725439,0.00390629902116678,1381
"53","Sg_312","Seagrass",0.00220687457964793,0.00172925404995947,2146
"54","Sg_314","Seagrass",0.00486552724404863,0.00261288041672007,2128
"55","Sg_315","Seagrass",NA,NA,3959
"56","Sg_316","Seagrass",0.0364762588867056,-0.0123061995834681,23
"57","Sg_317","Seagrass",0.0341825271868033,0.00244644126049843,19.5
"58","Sg_321","Seagrass",0.0273717695534221,-0.00607481272668773,26
"59","Sg_323","Seagrass",0.00719399092294175,0.00582918025515153,488
"60","Sg_332","Seagrass",0.002509505905154,0.066313337758369,98
"61","Sg_476","Seagrass",0.00055291659316247,-0.00143671858476408,365
"62","Sg_477","Seagrass",0.00051553052835093,0.000965183118079786,619
"63","Sg_478","Seagrass",0.000736548413787628,0.000823177190294945,1043
"64","Sg_479","Seagrass",0.000629975633838486,0.00112938388976453,2572
"65","Sg_480","Seagrass",0.00039160812611383,0.000781004231361089,1098
"66","Sg_481","Seagrass",0.00116771214649243,0.0024986984506794,1368
