"","ID","Ecosystem","P","k","Max.Age","OC","Mud","d13C","SAR","temperature","nitratos","pH","phosphates","salinidade","water.velocity"
"1848","Mg_010","Mangrove",0.0295870669584567,0.0357240367382204,81.3,15,NA,NA,0.20910209102091,25.72859399,0.6246298,8.0614305,0.00059028,36.37555777,0.03178201
"1849","Mg_011","Mangrove",0.0259989779916977,0.0227101090828641,87.7,20.9375,NA,NA,0.23945267958951,25.64533909,0.64300368,8.06275287,0.0005723,36.36806816,0.03520533
"1850","Mg_012","Mangrove",0.0170751220930664,0.0152598508587641,92.4,19.2777777777778,NA,NA,0.248917748917749,25.77167655,0.6200664,8.05965719,0.00061933,36.38936519,0.02640731
"1854","Mg_016","Mangrove",0.00438617645648412,0.0153924131794288,90.30497605,10.5956666666667,NA,NA,0.354354780873673,23.6110367,2.67260441,8.0488855,0.0011853,34.87898856,0.00342725
"2228","Sg_002","Seagrass",0.0111402150787638,0.0249496904523418,90,2.60661456054545,1.38344784127273,-11.0887953453,0.254543333333333,19.88354018,0.03515508,8.12288004,0.02330084,35.74200128,0.04807923
"2231","Sg_005","Seagrass",0.00356493655382928,0.0270611360162903,86,1.1610818062,3.7472281214,-14.686131998,0.118036046511628,19.88354018,0.03515508,8.12288004,0.02330084,35.74200128,0.04807923
"2232","Sg_011","Seagrass",0.00422379193862222,0.00204819999001365,96,0.957502940181818,NA,-12.5047329959091,0.323159375,20.29398585,0.04581685,8.12172185,0.02565566,35.65379244,0.0702058
"2236","Sg_019","Seagrass",0.0108392298863829,0.0307648511140077,87,2.0621935097,NA,-11.216491249,0.257526436781609,20.1985007,0.04499917,8.1216795,0.02570996,35.66961074,0.06043832
"2316","Sg_112","Seagrass",0.0104759412593491,0.0560561931714795,83,2.1220772572,22.80822394,-12.480612002,0.26384578313253,22.38900952,0.00158339,8.07558538,0.0030387,36.81039615,0.01173238
"2327","Sg_123","Seagrass",0.0114015088013037,0.0233145279187864,89,2.85962782772222,30.4473806177778,-13.325882453125,0.403005617977528,22.38900952,0.00158339,8.07558538,0.0030387,36.81039615,0.01173238
"2421","Sg_241","Seagrass",0.0142568129606639,0.00153239619587826,98,3.32970849583333,4.08699404722222,-15.1598377366667,0.538163265306122,18.19322229,0.16895522,8.0666933,0.02045407,36.7181642,0.03705282
"2424","Sg_244","Seagrass",0.0157381097215027,0.0468848485308117,93,1.751772898125,5.24605288625,-17.43,0.523655913978495,18.19322229,0.16895522,8.0666933,0.02045407,36.7181642,0.03705282
"2469","Sg_310","Seagrass",0.0391214267523454,0.0342266073817847,88,2.9125341263125,1.50276053846154,-18.68488576625,0.55335965,14.59626142,0.92394042,8.1139421,0.0763289,37.78596633,0.01137595
"2470","Sg_311","Seagrass",0.0249805606187931,0.0359606798161259,92,1.77346597944444,1.55554223529412,-18.5302746521429,0.413634410869565,14.59626142,0.92394042,8.1139421,0.0763289,37.78596633,0.01137595
"2471","Sg_312","Seagrass",0.012508591105953,0.0243201107387412,95,1.74780848868421,2.869401375,-19.0626040426316,0.421052631578947,14.59626142,0.92394042,8.1139421,0.0763289,37.78596633,0.01137595
