"","RC1","RC2","RC3"
"k",-0.651631376694063,0.404851848791356,-0.15360692228384
"OC",-0.0788873173744239,0.395368841676025,0.383728109900941
"Mud",0.233510525707533,-0.257999696405775,0.891804831240332
"SAR",0.604989897895251,-0.25415539587793,0.231675929971812
"temperature",-0.939492750056243,-0.0715316363575295,0.133080568223909
"nitratos",0.867474669590788,0.399714182227134,-0.0762668426720973
"pH",-0.0284690923734831,-0.364783115239768,-0.89264391039529
"phosphates",0.951451602301657,0.0191689405698676,0.175465847949694
"salinidade",0.0671947727017652,0.938665217678571,-0.0304847946980408
"water.velocity",0.0244943626701254,-0.810738178815473,-0.116446684392622
