"","ID","Ecosystem","P","k","Max.Age"
"1","Sg_031","Seagrass",0.000708072955291548,0.00113962291288672,1507
"2","Sg_041","Seagrass",0.00861570156218423,0.0148218524014665,1841
"3","Sg_043","Seagrass",NA,NA,1585
"4","Sg_083","Seagrass",NA,NA,1522
"5","Sg_084","Seagrass",0.000332930612646259,0.000651645445597799,1514
"6","Sg_104","Seagrass",0.000600477742623063,0.00137987868881808,1874
"7","Sg_110","Seagrass",0.00136077990526217,0.00143742515610488,1758
"8","Sg_112","Seagrass",NA,NA,1998
"9","Sg_113","Seagrass",0.000471252036726511,0.000528210715317461,1979
"10","Sg_115","Seagrass",0.000572670600169227,0.000961693338053042,1690
"11","Sg_120","Seagrass",NA,NA,1947
"12","Sg_121","Seagrass",NA,NA,1771
"13","Sg_170","Seagrass",0.00684708230026849,0.00824845503814711,1870
"14","Sg_191","Seagrass",0.00164700012517081,0.0371427709183446,1798
"15","Sg_193","Seagrass",NA,NA,1830
"16","Sg_194","Seagrass",0.000370003912063665,0.00390509483184205,1713
"17","Sg_247","Seagrass",NA,NA,1923
"18","Sg_252","Seagrass",0.000126943503640158,0.000548311732316351,1782
"19","Sg_261","Seagrass",0.000527140782798784,0.000831053781589638,1882
"20","Sg_279","Seagrass",0.000980204609739842,0.00103997608531143,1944
"21","Sg_312","Seagrass",0.00247474524771126,0.00205948269469438,1997
"22","Sg_314","Seagrass",0.00539023495925632,0.00304659994571001,1949
"23","Sg_315","Seagrass",NA,NA,1980
"24","Sg_479","Seagrass",0.000630115304788768,0.00112903585768349,1956
"25","Sg_494","Seagrass",0.000301007228017867,0.00170789843044253,1623
