"","ID","Ecosystem","P","k","Max.Age"
"1","Sg_002","Seagrass",0.00677364236349253,0.00957121017415198,779
"2","Sg_003","Seagrass",0.00481527941928856,0.00661867915188629,571
"3","Sg_004","Seagrass",0.00234744220852555,0.0116564139570012,779
"4","Sg_005","Seagrass",0.00147495259836597,0.00664709840235518,936
"5","Sg_019","Seagrass",0.00618867220632774,0.0109541525025212,602
"6","Sg_030","Seagrass",0.000209756921130409,0.000296703277026713,4173
"7","Sg_031","Seagrass",0.000708072955291548,0.00113962291288672,1507
"8","Sg_032","Seagrass",NA,NA,6866
"9","Sg_038","Seagrass",NA,NA,1043
"10","Sg_041","Seagrass",0.00608562274639447,0.0093760130270348,5678
"11","Sg_043","Seagrass",NA,NA,1585
"12","Sg_045","Seagrass",0.00112531032831394,0.000887997341003135,1194
"13","Sg_058","Seagrass",NA,NA,5371
"14","Sg_083","Seagrass",NA,NA,1522
"15","Sg_084","Seagrass",0.000332930612646259,0.000651645445597799,1514
"16","Sg_088","Seagrass",0.00187896539444544,0.00683513891862437,1113
"17","Sg_097","Seagrass",0.0106137375378475,0.0317697399104148,4583
"18","Sg_109","Seagrass",NA,NA,4231
"19","Sg_110","Seagrass",0.00136077990526217,0.00143742515610488,1758
"20","Sg_113","Seagrass",0.000464516267794021,0.000494949719341281,2406
"21","Sg_115","Seagrass",0.000572670600169227,0.000961693338053042,1690
"22","Sg_119","Seagrass",0.00654884165546102,0.00293165903297616,852
"23","Sg_120","Seagrass",NA,NA,2905
"24","Sg_121","Seagrass",NA,NA,5953
"25","Sg_170","Seagrass",NA,NA,4853
"26","Sg_191","Seagrass",NA,NA,18515
"27","Sg_193","Seagrass",NA,NA,4102
"28","Sg_241","Seagrass",NA,NA,1370
"29","Sg_247","Seagrass",NA,NA,3730
"30","Sg_252","Seagrass",0.000126943503640158,0.000548311732316351,1782
"31","Sg_261","Seagrass",0.000527140782798784,0.000831053781589638,1882
"32","Sg_279","Seagrass",0.000662304525623758,0.000379695300696354,3884
"33","Sg_291","Seagrass",0.00379548207132146,0.000808728505402976,1207
"34","Sg_298","Seagrass",0.00213146613818398,0.000346136566148217,1043
"35","Sg_310","Seagrass",0.0299741402795518,0.0218140771621886,399
"36","Sg_311","Seagrass",0.00690554100796137,0.00390629902165939,1381
"37","Sg_312","Seagrass",0.00220687457912836,0.00172925404949269,2146
"38","Sg_314","Seagrass",0.00486552723531476,0.00261288041105267,2128
"39","Sg_315","Seagrass",NA,NA,3959
"40","Sg_316","Seagrass",0.0364762521703293,-0.0123062193261619,23
"41","Sg_317","Seagrass",0.034182541053294,0.00244649334712934,19.5
"42","Sg_321","Seagrass",0.0273717828477545,-0.00607476602396101,26
"43","Sg_323","Seagrass",0.00719399091948015,0.00582918025169251,488
"44","Sg_476","Seagrass",0.000552916599430178,-0.00143671851283309,365
"45","Sg_477","Seagrass",0.000515530525613651,0.000965183093765915,619
"46","Sg_478","Seagrass",0.000736548417853493,0.000823177206503057,1043
"47","Sg_479","Seagrass",0.000629975634766711,0.0011293838925462,2572
"48","Sg_480","Seagrass",0.000391608123986514,0.000781004215614201,1098
"49","Sg_481","Seagrass",0.00116771214869432,0.00249869845762212,1368
"50","Sg_482","Seagrass",0.000170572007012169,0.00225641657519988,1007
"51","Sg_483","Seagrass",NA,NA,705
"52","Sg_484","Seagrass",NA,NA,344
"53","Sg_485","Seagrass",0.00117976732500355,-0.000233302604363265,282
"54","Sg_490","Seagrass",0.000185758005404316,-0.00055400246143762,1238
"55","Sg_491","Seagrass",NA,NA,3742
"56","Sg_492","Seagrass",NA,NA,1333
"57","Sg_493","Seagrass",0.000445073104833096,0.00143120638113429,781
"58","Sg_494","Seagrass",0.000301007228017867,0.00170789843044253,1623
"59","Sg_495","Seagrass",0.000590718085946431,-0.000229261343712488,327
"60","Sg_496","Seagrass",0.000769277892996196,0.00143423496068533,391
"61","Sg_497","Seagrass",0.000654608689955732,-0.00115376646763408,306
"62","Sg_588","Seagrass",0.0246294536791395,0.00551785171527075,434
"63","Sm_010","Tidal Marsh",0.000387872393422873,-0.000844670385167675,926
"64","Sm_022","Tidal Marsh",0.000784196076232976,-0.00110204983454397,1156
"65","Sm_027","Tidal Marsh",0.00113667690853922,0.000374832702692745,848
"66","Sm_034","Tidal Marsh",0.00816231302112716,0.00255759613257544,637
