"","ID","Ecosystem","P","k","Max.Age"
"1","Sg_002","Seagrass",NA,NA,779
"2","Sg_003","Seagrass",NA,NA,571
"3","Sg_004","Seagrass",NA,NA,779
"4","Sg_005","Seagrass",NA,NA,936
"5","Sg_019","Seagrass",NA,NA,602
"6","Sg_030","Seagrass",0.000209756921130409,0.000296703277026713,4173
"7","Sg_031","Seagrass",NA,NA,1507
"8","Sg_032","Seagrass",NA,NA,6866
"9","Sg_038","Seagrass",NA,NA,1043
"10","Sg_041","Seagrass",0.00608562274639447,0.0093760130270348,5678
"11","Sg_043","Seagrass",NA,NA,1585
"12","Sg_045","Seagrass",NA,NA,1194
"13","Sg_058","Seagrass",NA,NA,5371
"14","Sg_083","Seagrass",NA,NA,1522
"15","Sg_084","Seagrass",NA,NA,1514
"16","Sg_088","Seagrass",NA,NA,1113
"17","Sg_097","Seagrass",0.0106137375378475,0.0317697399104148,4583
"18","Sg_109","Seagrass",NA,NA,4231
"19","Sg_110","Seagrass",NA,NA,1758
"20","Sg_113","Seagrass",0.000464516267794021,0.000494949719341281,2406
"21","Sg_115","Seagrass",NA,NA,1690
"22","Sg_119","Seagrass",NA,NA,852
"23","Sg_120","Seagrass",NA,NA,2905
"24","Sg_121","Seagrass",NA,NA,5953
"25","Sg_170","Seagrass",NA,NA,4853
"26","Sg_191","Seagrass",NA,NA,18515
"27","Sg_193","Seagrass",NA,NA,4102
"28","Sg_241","Seagrass",NA,NA,1370
"29","Sg_247","Seagrass",NA,NA,3730
"30","Sg_252","Seagrass",NA,NA,1782
"31","Sg_261","Seagrass",NA,NA,1882
"32","Sg_279","Seagrass",0.000662304525623758,0.000379695300696354,3884
"33","Sg_291","Seagrass",NA,NA,1207
"34","Sg_298","Seagrass",NA,NA,1043
"35","Sg_310","Seagrass",NA,NA,399
"36","Sg_311","Seagrass",NA,NA,1381
"37","Sg_312","Seagrass",0.00220687457912836,0.00172925404949269,2146
"38","Sg_314","Seagrass",0.00486552723531476,0.00261288041105267,2128
"39","Sg_315","Seagrass",NA,NA,3959
"40","Sg_316","Seagrass",NA,NA,23
"41","Sg_317","Seagrass",NA,NA,19.5
"42","Sg_321","Seagrass",NA,NA,26
"43","Sg_323","Seagrass",NA,NA,488
"44","Sg_476","Seagrass",NA,NA,365
"45","Sg_477","Seagrass",NA,NA,619
"46","Sg_478","Seagrass",NA,NA,1043
"47","Sg_479","Seagrass",0.000629975634766711,0.0011293838925462,2572
"48","Sg_480","Seagrass",NA,NA,1098
"49","Sg_481","Seagrass",NA,NA,1368
"50","Sg_482","Seagrass",NA,NA,1007
"51","Sg_483","Seagrass",NA,NA,705
"52","Sg_484","Seagrass",NA,NA,344
"53","Sg_485","Seagrass",NA,NA,282
"54","Sg_490","Seagrass",NA,NA,1238
"55","Sg_491","Seagrass",NA,NA,3742
"56","Sg_492","Seagrass",NA,NA,1333
"57","Sg_493","Seagrass",NA,NA,781
"58","Sg_494","Seagrass",NA,NA,1623
"59","Sg_495","Seagrass",NA,NA,327
"60","Sg_496","Seagrass",NA,NA,391
"61","Sg_497","Seagrass",NA,NA,306
"62","Sg_588","Seagrass",NA,NA,434
"63","Sm_010","Tidal Marsh",NA,NA,926
"64","Sm_022","Tidal Marsh",NA,NA,1156
"65","Sm_027","Tidal Marsh",NA,NA,848
"66","Sm_034","Tidal Marsh",NA,NA,637
