"","ID","Ecosystem","P","k","Max.Age"
"1","Sg_041","Seagrass",0.00894719756601855,0.0157329669623212,1463
"2","Sg_097","Seagrass",0.0132163411281373,0.0470238601211773,1341
"3","Sg_110","Seagrass",NA,NA,1432
"4","Sg_112","Seagrass",0.00436614599559501,0.0136303110911695,1332
"5","Sg_117","Seagrass",0.00142774035889619,0.00269048433716861,1389
"6","Sg_120","Seagrass",0.0026034734317326,0.00182901584220352,1440
"7","Sg_121","Seagrass",0.0196998591167115,0.0168285374982381,1269
"8","Sg_170","Seagrass",0.00798503003426712,0.01046067877271,1317
"9","Sg_195","Seagrass",0.0119209809066037,0.0529205608611919,1265
"10","Sg_241","Seagrass",NA,NA,1370
"11","Sg_279","Seagrass",0.001071656787483,0.00129169772885272,1495
"12","Sg_291","Seagrass",0.00379548207132146,0.000808728505402976,1207
"13","Sg_298","Seagrass",0.00213146613818398,0.000346136566148217,1043
"14","Sg_311","Seagrass",0.00690554099813058,0.00390629901470814,1381
"15","Sg_312","Seagrass",0.0044951846483067,0.00466230944454081,1466
"16","Sg_314","Seagrass",0.00705053228121568,0.00456892758739353,1472
"17","Sm_022","Tidal Marsh",0.000784196076232976,-0.00110204983454397,1156
