"","ID","Ecosystem","P","k","Max.Age"
"1","Mg_010","Mangrove",NA,NA,143.9
"2","Mg_011","Mangrove",NA,NA,139.8
"3","Mg_012","Mangrove",NA,NA,105.3
"4","Mg_015","Mangrove",NA,NA,105.9018101
"5","Mg_016","Mangrove",NA,NA,370.071527
"6","Mg_023","Mangrove",NA,NA,890
"7","Sg_002","Seagrass",NA,NA,779
"8","Sg_003","Seagrass",NA,NA,571
"9","Sg_004","Seagrass",NA,NA,779
"10","Sg_005","Seagrass",NA,NA,936
"11","Sg_011","Seagrass",NA,NA,178
"12","Sg_019","Seagrass",NA,NA,602
"13","Sg_030","Seagrass",0.000209756921091128,0.000296703276981667,4173
"14","Sg_041","Seagrass",0.0060856226802025,0.00937601291867349,5678
"15","Sg_042","Seagrass",NA,NA,1823
"16","Sg_057","Seagrass",NA,NA,1840
"17","Sg_081","Seagrass",NA,NA,257
"18","Sg_097","Seagrass",0.0106137375378475,0.0317697399104148,4583
"19","Sg_109","Seagrass",NA,NA,4231
"20","Sg_110","Seagrass",NA,NA,1758
"21","Sg_119","Seagrass",NA,NA,852
"22","Sg_120","Seagrass",NA,NA,2905
"23","Sg_121","Seagrass",NA,NA,5953
"24","Sg_123","Seagrass",NA,NA,355
"25","Sg_170","Seagrass",NA,NA,4853
"26","Sg_177","Seagrass",NA,NA,900
"27","Sg_178","Seagrass",NA,NA,857
"28","Sg_179","Seagrass",NA,NA,1075
"29","Sg_190","Seagrass",NA,NA,480
"30","Sg_191","Seagrass",NA,NA,18515
"31","Sg_241","Seagrass",NA,NA,1370
"32","Sg_247","Seagrass",NA,NA,3730
"33","Sg_278","Seagrass",NA,NA,286
"34","Sg_279","Seagrass",0.000662304525033748,0.000379695299915809,3884
"35","Sg_291","Seagrass",NA,NA,1207
"36","Sg_298","Seagrass",NA,NA,1043
"37","Sg_310","Seagrass",NA,NA,399
"38","Sg_311","Seagrass",NA,NA,1381
"39","Sg_312","Seagrass",0.00220687457964793,0.00172925404995947,2146
"40","Sg_314","Seagrass",0.00486552724404863,0.00261288041672007,2128
"41","Sg_316","Seagrass",NA,NA,23
"42","Sg_317","Seagrass",NA,NA,19.5
"43","Sg_321","Seagrass",NA,NA,26
"44","Sg_323","Seagrass",NA,NA,488
"45","Sg_332","Seagrass",NA,NA,98
"46","Sm_010","Tidal Marsh",NA,NA,926
"47","Sm_022","Tidal Marsh",NA,NA,1156
"48","Sm_027","Tidal Marsh",NA,NA,848
"49","Sm_034","Tidal Marsh",NA,NA,637
"50","Sm_038","Tidal Marsh",NA,NA,1221
"51","Sm_049","Tidal Marsh",NA,NA,114
"52","Sm_051","Tidal Marsh",NA,NA,89
"53","Sm_054","Tidal Marsh",NA,NA,72
"54","Sm_057","Tidal Marsh",NA,NA,66
"55","Sm_058","Tidal Marsh",NA,NA,78
"56","Sm_059","Tidal Marsh",NA,NA,66
"57","Sm_060","Tidal Marsh",NA,NA,80
"58","Sm_063","Tidal Marsh",NA,NA,124
"59","Sm_064","Tidal Marsh",NA,NA,98
"60","Sm_068","Tidal Marsh",NA,NA,85.8770685
"61","Sm_069","Tidal Marsh",NA,NA,40.68236183
"62","Sm_074","Tidal Marsh",NA,NA,95.81683293
"63","Sm_080","Tidal Marsh",NA,NA,121.1262402
"64","Sm_081","Tidal Marsh",NA,NA,120.0091552
"65","Sm_083","Tidal Marsh",NA,NA,195.4100771
"66","Sm_092","Tidal Marsh",NA,NA,31
"67","Sm_094","Tidal Marsh",NA,NA,152
"68","Sm_097","Tidal Marsh",NA,NA,56
"69","Sm_105","Tidal Marsh",NA,NA,62
