"","ID","k_100","k_150","k_300","k_500","k_1000","k_1500","k_2000","k_m2000","Max_Age","Ecosystem","Specie","Status","Life.form","Bioregions","Habitat.type","SAR"
"1","Mg_ 2203",NA,NA,0.0225782420575753,NA,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.254953394625086
"2","Mg_010",0.0357240367382204,0.0332481743695184,NA,NA,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.132036136205698
"3","Mg_011",0.0227101090828641,0.0204465340849783,NA,NA,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.178826895565093
"4","Mg_012",0.0152598508587641,0.0138585002041746,NA,NA,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.198570293884035
"5","Mg_015",NA,0.0180389165783001,NA,NA,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.151083347724573
"6","Mg_016",0.0153924131794288,0.014700150989578,NA,0.0160952605402812,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.256686631125379
"7","Mg_023",NA,NA,0.00322425568839615,0.00414266759829073,NA,NA,NA,NA,NA,"Mangrove","Avicennia marina","","","","Lower",0.203001968503937
"8","Mg_2477",NA,0.00379535848048822,0.00304615066680036,NA,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.28
"9","Mg_2479",NA,0.0138759078583375,0.000679517065184397,0.000853120562462926,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.144300144300144
"10","Mg_2480",0.0154708430327845,0.00482623902072686,0.00375480723263812,0.0034221117544294,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.154559505409583
"11","Mg_2483",0.00294058934627972,0.00380310902748115,NA,NA,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.339999999902857
"12","Mg_2491",0.00612363428085756,0.00298533045739774,0.0025056869065637,NA,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.377142857229061
"13","Mg_2499",0.0376512269043506,0.0336638161126544,NA,NA,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.90000000009
"14","Mg_2501",NA,0.00586021713502387,0.00805861253651489,NA,NA,NA,NA,NA,NA,"Mangrove","","","","","",0.689999999853636
"15","Mg_2502",0.00647609534975177,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove","","","","","",1.15999999996325
"16","Sg_002",0.0249496904523418,0.0186111696188054,0.0132562178325495,0.0114780544906987,0.00957121017415198,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.21818
"17","Sg_003",NA,0.00984995628453004,0.00879979995578362,0.00722224033815816,0.00661867915188629,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.188177205882353
"18","Sg_004",NA,0.0169724176559222,0.0159795932763386,0.0134568542653037,0.0116564139570012,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.147788793103448
"19","Sg_005",0.0270611360162903,0.0245047586960605,0.0154905246870124,0.00998765934983005,0.00664709840235518,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.115454330708661
"20","Sg_011",0.00204819999001365,0.00223465211231649,0.002088559916771,NA,NA,NA,NA,NA,NA,"Seagrass","Posidonia_Amphibolis","","Persistent","Temperate Southern Oceans","coastal",0.356589655172414
"21","Sg_019",0.0307648511140077,0.0240202806473315,0.0200292872382687,0.013704101326601,0.0109541525025212,NA,NA,NA,NA,"Seagrass","Posidonia_Amphibolis","","Persistent","Temperate Southern Oceans","coastal",0.2118875
"22","Sg_030",NA,NA,NA,NA,NA,NA,NA,0.000296703277026713,4173,"Seagrass","Posidonia_Amphibolis","","Persistent","Temperate Southern Oceans","coastal",0.107693333333333
"23","Sg_041",NA,NA,0.0264721290761797,0.0204679868079798,NA,NA,NA,0.0093760130270348,5678,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.120778125
"24","Sg_042",NA,0.00950837771517511,0.00748390948660871,0.003388093717992,NA,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.106060606060606
"25","Sg_057",NA,NA,0.0177528561517162,NA,NA,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.219178082191781
"26","Sg_081",NA,NA,0.0037242155181824,NA,NA,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","estuarine",0.389380530973451
"27","Sg_097",NA,NA,NA,NA,NA,NA,NA,0.0317697399104148,4583,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.310523076923077
"28","Sg_110",NA,0.0188519706378469,0.0105851652861597,0.00255636957199237,0.00105624696051288,NA,NA,NA,NA,"Seagrass","Halodule","","Colonising","Tropical Indo-Pacific","estuarine",0.105719626168224
"29","Sg_111",NA,0.0392852033988497,0.0281369551652802,0.020916177201719,0.0139208997036101,NA,NA,NA,NA,"Seagrass","Posidonia_Amphibolis","","Persistent","Temperate Southern Oceans","coastal",0.168852459016393
"30","Sg_112",0.0560561931714795,NA,0.0324747510191627,0.0225914310510686,0.019957647642172,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.26384578313253
"31","Sg_117",NA,0.0412317423380599,0.0352274560445947,0.0246879336712628,0.00738978611837255,0.00269048433716861,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.14601935483871
"32","Sg_119",NA,0.0150149059022943,0.0106815225057201,0.00731629112462724,0.00293165903297616,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.249495967741935
"33","Sg_120",NA,NA,0.017284457972645,0.0112256342369516,0.00347527304681509,0.00182901584220352,NA,NA,NA,"Seagrass","Amphibolis","","Persistent","Temperate Southern Oceans","coastal",0.2249
"34","Sg_121",NA,NA,0.0240617201092273,NA,0.0208358796259958,NA,NA,NA,NA,"Seagrass","Posidonia_Amphibolis","","Persistent","Temperate Southern Oceans","coastal",0.359790909090909
"35","Sg_123",0.0233145279187864,0.0172181557425088,0.00791103181925051,0.00526415326895667,NA,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.338748611111111
"36","Sg_170",NA,0.0198573600213739,NA,0.0155120652210158,0.0118896098435251,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","estuarine",0.145307971014493
"37","Sg_179",NA,NA,NA,0.000663355536227338,NA,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","estuarine",0.115052702702703
"38","Sg_190",NA,NA,NA,0.00205655249331561,NA,NA,NA,NA,NA,"Seagrass","Posidonia","","Persistent","Temperate Southern Oceans","coastal",0.244976612903226
