"","Core","Ecosystem","Lat","Long"
"35683","Mg_ 1000","Mangrove",27.74221667,-82.46771667
"35720","Mg_ 1001","Mangrove",27.74238333,-82.46776667
"35757","Mg_ 1002","Mangrove",27.74261667,-82.46795
"35792","Mg_ 1003","Mangrove",27.7427,-82.4682
"35828","Mg_ 1004","Mangrove",8.30401,-82.3656
"35833","Mg_ 1005","Mangrove",8.30401,-82.3656
"35838","Mg_ 1006","Mangrove",8.30401,-82.3656
"35843","Mg_ 1007","Mangrove",8.30401,-82.3656
"35848","Mg_ 1008","Mangrove",8.30401,-82.3656
"35853","Mg_ 1009","Mangrove",8.30401,-82.3656
"35858","Mg_ 1010","Mangrove",8.33466,-82.4212
"35863","Mg_ 1011","Mangrove",8.33466,-82.4212
"35868","Mg_ 1012","Mangrove",8.33466,-82.4212
"35873","Mg_ 1013","Mangrove",8.33466,-82.4212
"35878","Mg_ 1014","Mangrove",8.33466,-82.4212
"35883","Mg_ 1015","Mangrove",8.33466,-82.4212
"35888","Mg_ 1016","Mangrove",14.00103333,-16.5705
"35893","Mg_ 1017","Mangrove",14.00108333,-16.57066667
"35898","Mg_ 1018","Mangrove",14.0011,-16.57086667
"35903","Mg_ 1019","Mangrove",14.00115,-16.57103333
"35908","Mg_ 1020","Mangrove",14.00118333,-16.57121667
"35913","Mg_ 1021","Mangrove",14.00123333,-16.57136667
"35918","Mg_ 1022","Mangrove",27.62534,-82.71471
"35927","Mg_ 1023","Mangrove",27.62534,-82.71471
"35937","Mg_ 1024","Mangrove",27.62534,-82.71471
"35947","Mg_ 1025","Mangrove",27.62534,-82.71471
"35957","Mg_ 1026","Mangrove",27.62534,-82.71471
"35967","Mg_ 1027","Mangrove",27.62707,-82.71577
"35977","Mg_ 1028","Mangrove",27.62707,-82.71577
"35987","Mg_ 1029","Mangrove",27.62707,-82.71577
"35994","Mg_ 1030","Mangrove",27.62703,-82.71584
"36002","Mg_ 1031","Mangrove",27.62703,-82.71584
"36012","Mg_ 1032","Mangrove",27.64043,-82.73374
"36020","Mg_ 1033","Mangrove",27.64043,-82.73374
"36029","Mg_ 1034","Mangrove",27.64043,-82.73374
"36039","Mg_ 1035","Mangrove",27.64039,-82.73383
"36048","Mg_ 1036","Mangrove",27.64039,-82.73383
"36058","Mg_ 1037","Mangrove",27.62708333,-82.71515
"36086","Mg_ 1038","Mangrove",27.62706667,-82.7157
"36118","Mg_ 1039","Mangrove",27.64098,-82.73395
"36125","Mg_ 1040","Mangrove",27.64098,-82.73395
"36131","Mg_ 1041","Mangrove",27.64098,-82.73395
"36138","Mg_ 1042","Mangrove",27.64083,-82.73396
"36146","Mg_ 1043","Mangrove",27.64083,-82.73396
"36155","Mg_ 1044","Mangrove",27.580827,-82.563715
"36195","Mg_ 1045","Mangrove",27.580827,-82.563715
"36235","Mg_ 1046","Mangrove",27.846063,-82.6015
"36270","Mg_ 1047","Mangrove",16.182486,-88.658633
"36281","Mg_ 1048","Mangrove",16.182618,-88.658878
"36292","Mg_ 1049","Mangrove",16.182674,-88.659092
"36304","Mg_ 1050","Mangrove",16.182715,-88.659314
"36316","Mg_ 1051","Mangrove",16.182778,-88.659524
"36326","Mg_ 1052","Mangrove",16.182853,-88.659754
"36337","Mg_ 1053","Mangrove",16.18206,-88.6565
"36348","Mg_ 1054","Mangrove",16.182147,-88.656372
"36359","Mg_ 1055","Mangrove",16.18223,-88.65619
"36370","Mg_ 1056","Mangrove",16.182337,-88.65605
"36381","Mg_ 1057","Mangrove",16.182404,-88.65589
"36393","Mg_ 1058","Mangrove",16.18248,-88.6557
"36404","Mg_ 1059","Mangrove",-0.881216645,-48.01373291
"36409","Mg_ 1060","Mangrove",-0.881733358,-48.01333237
"36414","Mg_ 1061","Mangrove",-0.881933331,-48.01321793
"36419","Mg_ 1062","Mangrove",-0.882099986,-48.01309967
"36424","Mg_ 1063","Mangrove",-0.84133333,-46.6385994
"36429","Mg_ 1064","Mangrove",-0.84133333,-46.6385994
"36434","Mg_ 1065","Mangrove",-0.84133333,-46.6385994
"36439","Mg_ 1066","Mangrove",-0.84133333,-46.6385994
"36444","Mg_ 1067","Mangrove",-0.84133333,-46.6385994
"36449","Mg_ 1068","Mangrove",-0.84133333,-46.6385994
"36454","Mg_ 1078","Mangrove",16.936095,-88.244356
"36466","Mg_ 1079","Mangrove",16.936059,-88.244569
"36478","Mg_ 1080","Mangrove",16.935988,-88.244787
"36491","Mg_ 1081","Mangrove",16.935951,-88.245024
"36504","Mg_ 1082","Mangrove",16.935931,-88.245217
"36517","Mg_ 1083","Mangrove",16.935956,-88.245422
"36531","Mg_ 1084","Mangrove",16.938988,-88.242735
"36545","Mg_ 1085","Mangrove",16.93908,-88.242891
"36559","Mg_ 1086","Mangrove",16.939103,-88.243067
"36573","Mg_ 1087","Mangrove",16.939055,-88.243254
"36583","Mg_ 1088","Mangrove",16.939034,-88.243414
"36595","Mg_ 1089","Mangrove",16.939019,-88.243595
"36607","Mg_ 1090","Mangrove",27.58088333,-82.56366667
"36657","Mg_ 1091","Mangrove",27.58068333,-82.56363333
"36707","Mg_ 1092","Mangrove",27.58081667,-82.56346667
"36797","Mg_ 1093","Mangrove",27.581,-82.56375
"36887","Mg_ 1094","Mangrove",27.58116667,-82.56388333
"36967","Mg_ 1095","Mangrove",27.5813,-82.56395
"37032","Mg_ 1096","Mangrove",17.691465,-88.11592
"37043","Mg_ 1097","Mangrove",17.691475,-88.116119
"37056","Mg_ 1098","Mangrove",17.691509,-88.116355
"37067","Mg_ 1099","Mangrove",17.691458,-88.116596
"37078","Mg_ 1100","Mangrove",17.691358,-88.116795
"37089","Mg_ 1101","Mangrove",17.691317,-88.117022
"37101","Mg_ 1108","Mangrove",10.10645927,-85.14926495
"37106","Mg_ 1109","Mangrove",10.10660515,-85.14909075
"37111","Mg_ 1110","Mangrove",10.10675103,-85.14891656
"37116","Mg_ 1111","Mangrove",10.10689691,-85.14874236
"37121","Mg_ 1112","Mangrove",10.10704279,-85.14856816
"37126","Mg_ 1113","Mangrove",10.10718867,-85.14839396
"37131","Mg_ 1114","Mangrove",10.10111362,-85.12767588
"37136","Mg_ 1115","Mangrove",10.10132626,-85.12759862
"37141","Mg_ 1116","Mangrove",10.1015389,-85.12752135
"37146","Mg_ 1117","Mangrove",10.10175154,-85.12744409
"37151","Mg_ 1118","Mangrove",10.10196418,-85.12736682
"37156","Mg_ 1119","Mangrove",10.10217681,-85.12728956
"37161","Mg_ 1120","Mangrove",8.28891,-82.3313
"37166","Mg_ 1121","Mangrove",8.28891,-82.3313
"37171","Mg_ 1122","Mangrove",8.28891,-82.3313
"37176","Mg_ 1123","Mangrove",8.28891,-82.3313
"37181","Mg_ 1124","Mangrove",8.28891,-82.3313
"37186","Mg_ 1125","Mangrove",8.28891,-82.3313
"37191","Mg_ 1126","Mangrove",20.48278,86.69051
"37196","Mg_ 1127","Mangrove",20.48278,86.69051
"37201","Mg_ 1128","Mangrove",10.1338045,-85.24459889
"37206","Mg_ 1129","Mangrove",10.13358179,-85.24463764
"37211","Mg_ 1130","Mangrove",10.13335909,-85.24467639
"37216","Mg_ 1131","Mangrove",10.13313638,-85.24471514
"37221","Mg_ 1132","Mangrove",10.13291367,-85.24475388
"37226","Mg_ 1133","Mangrove",10.13269096,-85.24479263
"37231","Mg_ 1134","Mangrove",9.974411225,-85.11858459
"37236","Mg_ 1135","Mangrove",9.974190842,-85.11863512
"37241","Mg_ 1136","Mangrove",9.973970459,-85.11868566
"37246","Mg_ 1137","Mangrove",9.973750076,-85.11873619
"37251","Mg_ 1138","Mangrove",9.973529693,-85.11878672
"37256","Mg_ 1139","Mangrove",9.97330931,-85.11883725
"37261","Mg_ 1146","Mangrove",-5.85578,106.60097
"37267","Mg_ 1147","Mangrove",-5.85769,106.60175
"37275","Mg_ 1161","Mangrove",-0.652083,109.361056
"37280","Mg_ 1162","Mangrove",-0.652083,109.361056
"37285","Mg_ 1163","Mangrove",-0.652083,109.361056
"37290","Mg_ 1164","Mangrove",-0.652083,109.361056
"37295","Mg_ 1165","Mangrove",-0.652083,109.361056
"37300","Mg_ 1166","Mangrove",-0.652083,109.361056
"37305","Mg_ 1167","Mangrove",-0.632361,109.395389
"37310","Mg_ 1168","Mangrove",-0.632361,109.395389
"37315","Mg_ 1169","Mangrove",-0.632361,109.395389
"37320","Mg_ 1170","Mangrove",-0.632361,109.395389
"37325","Mg_ 1171","Mangrove",-0.632361,109.395389
"37330","Mg_ 1172","Mangrove",-0.632361,109.395389
"37335","Mg_ 1173","Mangrove",-0.663333,109.451889
"37340","Mg_ 1174","Mangrove",-0.663333,109.451889
"37345","Mg_ 1175","Mangrove",-0.663333,109.451889
"37350","Mg_ 1176","Mangrove",-0.663333,109.451889
"37355","Mg_ 1177","Mangrove",-0.663333,109.451889
"37360","Mg_ 1178","Mangrove",-0.663333,109.451889
"37365","Mg_ 1179","Mangrove",-0.669889,109.446722
"37370","Mg_ 1180","Mangrove",-0.669889,109.446722
"37375","Mg_ 1181","Mangrove",-0.669889,109.446722
"37380","Mg_ 1182","Mangrove",-0.669889,109.446722
"37385","Mg_ 1183","Mangrove",-0.669889,109.446722
"37390","Mg_ 1184","Mangrove",-0.669889,109.446722
"37395","Mg_ 1185","Mangrove",-0.668139,109.437694
"37400","Mg_ 1186","Mangrove",-0.668139,109.437694
"37405","Mg_ 1187","Mangrove",-0.668139,109.437694
"37410","Mg_ 1188","Mangrove",-0.668139,109.437694
"37415","Mg_ 1189","Mangrove",-0.668139,109.437694
"37420","Mg_ 1190","Mangrove",-0.668139,109.437694
"37425","Mg_ 1191","Mangrove",-0.67475,109.454194
"37430","Mg_ 1192","Mangrove",-0.67475,109.454194
"37435","Mg_ 1193","Mangrove",-0.67475,109.454194
"37440","Mg_ 1194","Mangrove",-0.67475,109.454194
"37445","Mg_ 1195","Mangrove",-0.67475,109.454194
"37450","Mg_ 1196","Mangrove",-0.67475,109.454194
"37455","Mg_ 1197","Mangrove",-0.671222,109.443694
"37460","Mg_ 1198","Mangrove",-0.671222,109.443694
"37465","Mg_ 1199","Mangrove",-0.671222,109.443694
"37470","Mg_ 1200","Mangrove",-0.671222,109.443694
"37475","Mg_ 1201","Mangrove",-0.671222,109.443694
"37480","Mg_ 1202","Mangrove",-0.671222,109.443694
"37485","Mg_ 1224","Mangrove",11.56017376,102.9978255
"37490","Mg_ 1225","Mangrove",11.560174,102.997826
"37495","Mg_ 1226","Mangrove",11.560174,102.997826
"37500","Mg_ 1227","Mangrove",11.560174,102.997826
"37505","Mg_ 1228","Mangrove",11.557254,103.041488
"37510","Mg_ 1229","Mangrove",11.58337,103.0378
"37515","Mg_ 1230","Mangrove",11.081461,100.685777
"37520","Mg_ 1231","Mangrove",11.55858057,103.0411301
"37525","Mg_ 1232","Mangrove",11.558581,103.04113
"37530","Mg_ 1233","Mangrove",11.558581,103.04113
"37535","Mg_ 1234","Mangrove",11.558581,103.04113
"37540","Mg_ 1235","Mangrove",11.559437,103.040739
"37545","Mg_ 1236","Mangrove",11.559437,103.040739
"37550","Mg_ 1237","Mangrove",11.559437,103.040739
"37555","Mg_ 1238","Mangrove",11.51655319,102.9872835
"37560","Mg_ 1239","Mangrove",11.516553,102.987284
"37565","Mg_ 1240","Mangrove",11.516553,102.987284
"37570","Mg_ 1241","Mangrove",11.516553,102.987284
"37575","Mg_ 1242","Mangrove",11.516553,102.987284
"37580","Mg_ 1243","Mangrove",11.51698344,102.9880686
"37585","Mg_ 1244","Mangrove",11.516983,102.988069
"37590","Mg_ 1245","Mangrove",11.516983,102.988069
