"","ID","Ecosystem","P","k","Max.Age"
"1","Sg_030","Seagrass",0.000209756921130409,0.000296703277026713,4173
"2","Sg_041","Seagrass",0.00608562274639447,0.0093760130270348,5678
"3","Sg_097","Seagrass",0.0106137375378475,0.0317697399104148,4583
"4","Sg_109","Seagrass",NA,NA,4231
"5","Sg_120","Seagrass",NA,NA,2905
"6","Sg_121","Seagrass",NA,NA,5953
"7","Sg_170","Seagrass",NA,NA,4853
"8","Sg_191","Seagrass",NA,NA,18515
"9","Sg_247","Seagrass",NA,NA,3730
"10","Sg_279","Seagrass",0.000662304525623758,0.000379695300696354,3884
"11","Sg_312","Seagrass",0.00220687457912836,0.00172925404949269,2146
"12","Sg_314","Seagrass",0.00486552723531476,0.00261288041105267,2128
